publish_time,Video ID,Title,Comment,updatedAt,likeCount
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,What happened to darth vader,2019-11-21T01:27:51.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Ray.,2019-11-14T18:08:33.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Gary C and .,2019-11-14T18:07:11.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,THE PIZZA GOT THE HIGH GROUND!,2019-10-21T01:40:09.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Sorry Hayden. You deserve better.,2019-10-15T05:51:43.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"Little Italy in Toronto looks nothing like this.  I don’t know why they set this in Toronto, if they’re going to make it more like NYC.",2019-10-14T22:10:23.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"At least get an Italian woman. Like maybe its just because I’m Italian, and i despise emma roberts",2019-09-25T07:44:37.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Che paiasada can dell ostia,2019-09-23T21:03:39.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"""No Ragrets?""

""Not even one letter?""",2019-09-22T09:54:11.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"I think the movie was great , it was fun and romantic y’all need to chill with the criticism. Just take a seat and enjoy what you’re watching",2019-09-16T21:24:13.000Z,3
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,I have a question. Why does Hollywood -when it comes to Greece and Italy- makes two families with forbidden love and stuff?(the journey of the traveling pants.)😂,2019-09-07T17:34:45.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,1:11 😂😂😂,2019-08-18T14:22:31.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,“Moron sandwich”. I cant 😂,2019-08-15T18:24:42.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Ani?,2019-07-31T14:20:18.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"Omg Hayden's look when he looks i only see anakin my faviourite character, and its so unnutral to see him in anywhere but star wars niverse, one of my faviourite actor and he is 100 percent is underrated.",2019-07-31T09:52:54.000Z,7
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,this looks so bad but i wanna eat emma roberts ass like a freak,2019-07-31T03:34:33.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,This is where the pizza begin,2019-07-22T10:17:14.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Why does Hayden have a Brooklyn accent? It's Toronto.,2019-07-18T16:03:46.000Z,2
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,che cazzo e sta merda dio poroc,2019-07-18T01:27:35.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"Seriously, Hayden Christensens italian english accent is on point!",2019-07-14T20:13:47.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Sos horrible judía!!!,2019-07-12T19:47:53.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Evan Peters is one lucky guy. Living the dream - married to such a beauty. I'll find my own Emma Roberts some day lol,2019-07-09T05:25:42.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"This is basically Romeo & Juliet, accept they don’t die, and they’re Italian.... and there’s pizza. Like. A LOT of pizza.",2019-07-06T23:24:24.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,I love these actors but this looks like an hallmark movie gone bad.... Like a Frankenstein made up of all the worst cliché chunks ever invented,2019-07-02T11:51:16.000Z,3
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"The movie takes place in Canada. Every character either has a bad New York or bad Italian accent. Except the two main characters with broadcast American accents. No ""eh"" but plenty of ""eeehhhhh!""",2019-06-26T16:21:57.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Sweet love story but very bad acting,2019-06-25T21:31:41.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Is nobody going to talk about that scene where Leo gets molested by a freaking police officer,2019-06-20T14:23:12.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"the How Did This Get Made? podcast brought me here. 😂
And they’re ripping it pretty hard.",2019-05-24T15:45:21.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Como e o nome desse filme em português porfavor,2019-05-23T00:55:08.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"there is movie like this
 'Pizza My Heart' from 2005...
they are both the same",2019-05-17T16:47:34.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,How is this not considered racist?,2019-05-15T16:02:54.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"This movie is really cute ! Stupido , Stupida",2019-05-10T14:14:02.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"i have watched the whole movie just by watching the trailer , and seriously ?? we have already seen this like at least a million time ... so disappointed that emma roberts and hayden christenesen , two of the most talented actors , have participated in making such movie",2019-05-03T16:17:17.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"""Pizza My Heart"" look it up *folds arms*",2019-04-25T03:14:30.000Z,2
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,I am Italian sick of stereotypes,2019-04-21T00:45:02.000Z,6
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Chanel vs. young Darth Vader.,2019-04-17T22:34:03.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Italians?! Yes and me an Avengers,2019-04-17T14:46:58.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,i wish there was a book to this !!!,2019-04-17T12:54:10.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,a surprisingly good movie...  8/10,2019-04-08T03:29:13.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,How is hayden christensen still getting roles in movies? He is awful,2019-04-02T12:24:00.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"A Romeo and Juliet story, great! I wonder if there’s a suicide pact at the end 🤞",2019-03-29T12:20:13.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"Watched this movie, straight up garbage. How cliche can this movie get?  hella stereotypes about Italians. So boring too I barely made it to the end.",2019-03-25T10:25:22.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Manchester is approximately a 6 hour drive from London.,2019-03-18T23:35:57.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,When girl leaves you because of a pizza fight and your yelling at the pizza: “YOU WILL NOT TAKE HER FROM ME!”,2019-03-13T05:34:14.000Z,4
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Best fucking movie,2019-03-13T05:22:13.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,PIZZA FOR THE LAIDEE,2019-03-13T05:21:01.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,It doesnot seems as intresting as many other trailer.,2019-03-11T23:52:01.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,I hate love scenes where they make pizzas together. So cheesy,2019-03-06T06:11:16.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"Seriously? I thought that this looked TOO familiar... and yes. A remake or copy of another (lesser known?) movie from 2005 ""Pizza My Heart"". How? Why? Another ""spiderman"" remake to try and do it better than the other one? A story worth telling to a new audience?",2019-03-04T15:10:02.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,i would rather see a movie from the 1940s that was really shity and watch 100 times before this movie,2019-02-27T04:27:34.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"i never wanted to stop watching a movie more than this one, its so bad, just puns and Cringe 90% of the time",2019-02-27T04:25:06.000Z,3
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Very cute movie!!,2019-02-26T01:02:51.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"1:22 *It's treason, then.*",2019-02-24T02:42:37.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,So many stereotypes,2019-02-23T19:12:49.000Z,6
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Padme is raging,2019-02-21T18:06:41.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Pizza my heart. All I’m saying.,2019-02-20T23:36:14.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,cringe,2019-02-16T05:45:32.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Your tha new sauce boy,2019-02-15T03:22:18.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,why did you kill the younglings?,2019-02-13T06:19:05.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,2:19 Anakin trying to have the high ground,2019-02-13T02:19:06.000Z,14
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Is this Romeo and Juilet?,2019-02-05T14:23:08.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Am I the only one who thinks he looks a little too old for her?,2019-02-04T07:58:28.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,I came here bc of how did this get made and couldn’t even make it through the trailer for this movie.,2019-02-02T23:56:51.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,I don't think the producers of this movie have seen Little Italy in the past 40 years,2019-02-02T15:32:25.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"Not the Little Italy we need, eh?!🤨😂",2019-02-02T01:04:47.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,so … how did this get made?,2019-02-01T22:25:16.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,What's up jerks! #HDTGM.,2019-02-01T15:05:40.000Z,2
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,How Did this Get Made!?!?!,2019-02-01T09:52:08.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,What's     up     JERKS!!!,2019-01-28T12:13:33.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,nobody gonna talk about the fact that their grandparents AND them are together?? doesn’t that make them step-cousins??,2019-01-25T20:52:56.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Cheesy trailer deserves a cheesy comment.,2019-01-25T19:40:22.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Can't wait for the How Did This Get Made? podcast episode...,2019-01-25T13:50:33.000Z,67
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Doesn’t look like such a good movie... I’ll pass.,2019-01-25T00:16:28.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,I legit forgot about Hayden . 💀 I saw this on instagram I’m like dis guy look familiar . First I thought it was josh from that movie with Noah . Then I’m like “WAIT NO he looks like the guy from Star Wars “ then I looked up this movie and it was hIm I was shook .😂💀,2019-01-14T14:30:00.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Good Movie.,2019-01-12T05:38:52.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"This is striking similar to an independent movie called "" A Tale Of Two Pizza's """,2019-01-07T19:32:49.000Z,2
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Yoooo that anakin?,2019-01-04T13:34:03.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"OBI-WAN: It's over, Anakin. I have the high ground.  
ANAKIN: You underestimate my power!",2019-01-03T00:50:04.000Z,3
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Why not basketball not soccer. Name one thing more that make overseas revenue plummet yes.,2019-01-01T15:24:16.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,this wasn’t a good movie tbh,2018-12-30T11:01:56.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Don't you just hate trailers that give up the whole movie?,2018-12-22T02:15:21.000Z,2
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Anakin is that u?,2018-12-13T18:47:02.000Z,10
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,WTF...,2018-12-07T10:00:24.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Im the cake boss,2018-12-05T19:08:57.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"This movie was good, not bad at all. I loved it<3",2018-11-30T10:47:35.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Is this what Darth Vader does in his free time?,2018-11-30T04:57:52.000Z,2
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"Didn’t ABC Family make a movie like this with the exact same plot, pizza joints and all?",2018-11-25T02:31:14.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"По трейлеру понятно, что фильм бездарный",2018-11-23T16:00:31.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Emma Roberts is by far my favorite woman in Hollywood but this looks ultra lame.,2018-11-22T23:20:40.000Z,3
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,ANAKINNNNN AISBSIAKKZIS,2018-11-22T20:41:46.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,I don't think they should have dyed Hayden's hair. It looks weird.,2018-11-22T03:08:54.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,It's treason then...,2018-11-21T10:49:52.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"Literally the first thing that came to my mind: “Annie, my goodness, you’ve grown!”",2018-11-20T22:12:39.000Z,16
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,could this be even more cliché? what the heck is going on there :o,2018-11-19T22:56:37.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,No offense and I love emma.(Seriously I love her and I am 16 year old boy so seriously I romantically love her.)but she reminds me of Jared leto's joker on the thumbnail.,2018-11-18T17:00:00.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"Shit, now I need pizza bad! Reminds me of Mystic Pizza 1988. Looks good.",2018-11-18T14:31:12.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,i want pizza now!! this movie is pizza commercial :D,2018-11-17T00:26:21.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Hayden Christensen still so damn sexy and hot at the age of 37. just gonna watch it for him,2018-11-15T10:46:25.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,"he is 37 and she is 27, yeah, I cant stop looking at his forehead wrinkles im sorry.",2018-11-15T02:07:02.000Z,0
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,Won the Grammy Awards of the most boring movie. Shoot me if I am wrong.,2018-11-13T11:25:34.000Z,1
2018-07-13T14:37:25.000Z,eKCaF6AreHE,LITTLE ITALY Trailer (2018) Emma Roberts Comedy,This film reminds me of The Hundred-Foot Journey movie..,2018-11-11T14:41:42.000Z,0
