publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,I used to get dollar bills for that lmao 😂,2019-11-18T09:31:41.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,I see whitepeople ahhhhhhhhhh,2019-10-30T15:59:59.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,This movie was and is everything I watched it yesterday October 28 2019 and I couldn’t stop laughing. The part when Madea slap the clown stupid was everything. I laughed so hard and loud that my kids wanted to share the laughter with me. Love love it,2019-10-29T20:52:24.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,"Me: madea vs zombies cool!

Actuality: madea vs frat bro’s and going to church, zero spooky adventure involving scary stuff.

Me: ugh...",2019-10-29T17:51:10.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,"🤣🤣🤣🤣🤣""all my life I had to fight""🤣🤣🤣🤣🤣",2019-10-28T23:46:17.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Foozey suck cock,2019-10-28T09:36:06.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Dog shit.,2019-10-26T11:26:27.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Trailer is much more better than the movie. A little bit disappointed. Just watched it.,2019-10-25T02:29:15.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,“These children today...you have to drop the hammer on them!” I can’t breathe!!!! ☕️🤭😱🎬☕️☕️☕️☕️☕️☕️😜⚠️,2019-10-18T19:33:56.000Z,2
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Also why didn’t the zombie hands on the tv screen wasn’t in the movie but the creepy clown did also the words on the mirror angle was different,2019-10-13T00:16:02.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Why didn’t the movie showed the jigsaw voice I watched the movie not a bad horror themed comedy movie I saw this when I was 13 for the sequel not when I was 14 I missed it and right now I am 16 right now also I am from Akron Ohio in small town suburban areas okay,2019-10-13T00:15:30.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,"thisone was painfull to watch ,, disapointed",2019-10-10T07:24:20.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Cinema Snob brought me here.,2019-10-08T15:57:21.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,This is SO FUNNY !!!!!!,2019-09-30T01:31:32.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Ma I just didn't think we would be playing around like this though he pay bills here I still have him,2019-09-29T12:19:31.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,I’m the only one who doesn’t find this movie funny?,2019-09-16T16:57:50.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Hello madea do you wanna play a game??,2019-09-14T20:22:59.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,I remember seeing this the night it came it was so good,2019-09-14T19:00:13.000Z,2
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,"These children today u gotta the hammer on them
Ain't no lie mama",2019-08-29T16:59:36.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,"""just know if she dies, she a dude""


MOVIE IS FUCKIN INCREDIBLE",2019-08-27T02:49:56.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,That was so damn funny ill pay u on my way now😂😂😂😂 i 👀 liz in there' don't come over here with that foolishness 😂😂😂 hellerrr boooo👻👻👻👻👻,2019-08-30T02:02:24.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,"White people in horror movies:let’s explore
Black people:let’s get tf outta here🤣
No stareotype",2019-08-25T01:27:01.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Medea:oh hell!,2019-08-18T04:27:10.000Z,1
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,His movie is so funny Joe and Meade are the funniest and Hattie  😂😂😂😂0:12-0:18😂😂😂,2019-08-17T22:36:06.000Z,1
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Who.loves  boo 2 all of us maybe but i sure  do.Tyler. Perry  is awesome,2019-08-14T02:15:58.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,"W
2.l2ll22ll32l2l2l
qq
Q
q
2
2W
W
L22wlwwl",2019-07-29T22:14:06.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,"Lapqo22
L2p",2019-07-29T22:13:46.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Woulda been a whole lot better if that annoying laughing shit head Yousef Erakat. He was so annoying I had to turn it off.,2019-07-26T19:26:59.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,that was the reverend who called madea not no creep,2019-07-26T03:46:57.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Its was a bad moives in the world ammmmm not the wolrd but its bad dont watch it 😂😑,2019-07-23T00:19:47.000Z,1
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,“Got knocked the hell out” I died 😂😂💀💀,2019-07-16T19:45:59.000Z,12
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,This is so me everyday,2019-07-15T23:58:15.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,"0:41
1:43
Kian and Jc❤",2019-07-15T10:58:11.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Lmao,2019-07-10T23:52:25.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Made a: aaaahhh it’s scared that cramped out of me!😱😱😱😱,2019-07-04T08:56:00.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,I see white people 😂😂,2019-06-24T13:28:35.000Z,1
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,2:14,2019-06-24T03:26:29.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,"I really wished before he ended Madea, Perry would just made a madea movie, with only her and her hilarious friends! He tries too hard to bring in morality by bringing in real dramatic problems!",2019-06-23T02:05:04.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,I'm sorry but that Tiffany kid was too much! I was a little shit when I was kid but thats literally her personality! She has no respect for anyone!,2019-06-23T02:02:27.000Z,1
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,“When she answered the phone she got dead”🤣🤣🤣🤣🤣🤣,2019-06-22T21:26:28.000Z,3
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,I love madia so fanny,2019-06-21T17:48:36.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,"ItS wHiTe PeOpLe
I love how black people are so logical about horror movies
Like if they get attacked they get bitch slapped 
AMAZING",2019-06-18T15:10:45.000Z,1
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,Watched it at home,2019-06-16T19:44:40.000Z,0
2016-07-14T23:30:20.000Z,-sPHseSGr9Q,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’,0:17-0:18 killed me,2019-06-14T15:23:40.000Z,0
