publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,Ths movie is really good but I have to say  it doesn´t bring justice to the book,2019-11-12T22:10:31.000Z,0
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,0:58,2019-11-11T21:37:46.000Z,0
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,I love this movie,2019-10-29T12:58:36.000Z,0
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,If he was our teacher he would be fired long ago,2019-10-28T23:46:27.000Z,0
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,watch on  netflix guys,2019-10-27T14:50:40.000Z,0
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,Wow. This school is actually crueler than in the book,2019-10-27T06:54:10.000Z,0
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,I love this movie,2019-10-21T16:37:40.000Z,0
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,I never knew it was pronounced like that,2019-10-18T03:42:33.000Z,0
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,This kid was in tall girl,2019-10-11T20:43:22.000Z,1
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,Oh that's where I know this guy from...he was really good in this movie too bad he was in that garbage tall movie,2019-10-11T18:55:08.000Z,0
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,Why do the middle schoolers look like 27-,2019-10-11T01:24:47.000Z,0
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,"Anyone here after ""Tall Girl""?",2019-10-09T19:13:57.000Z,2
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,Coucou la classe de Mme six saint-Jude 4eF,2019-09-30T14:41:18.000Z,1
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,He’s so cute,2019-09-28T01:30:40.000Z,0
