publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,Gemma Atterton a beauty! 😍😍,2019-06-05T09:21:08.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,I've never cried so much....like when i watched this,2019-04-13T22:50:06.000Z,1
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,Sam ♥️♥️♥️,2018-07-11T07:29:11.000Z,1
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,"I just saw the movie. One word.

*W H Y*",2018-06-30T22:26:23.000Z,2
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,Only to watch Sam,2018-06-22T18:39:47.000Z,2
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,"A little too ""surprisingly moving"" 😠😭",2018-05-31T23:19:02.000Z,1
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,They look like so sweet togethere 😊😊😊😄😄😊☺,2018-04-14T17:16:32.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,Ey the girl is from the movie hansel and gretel the witch hunters yayyy,2018-04-12T04:28:51.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,Plop !,2018-04-05T09:35:19.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,"Based on the way the trailer was edited, I figured out the whole plot. There's too much emotional emphasis and sentimentality on Sam Claffin's character. I saw the trailer a year ago and watched the film today saw everything coming before it happened.",2018-03-01T23:56:47.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,This was very dissapointing.,2018-02-10T15:19:25.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,0:57 love his laugh XD i fangirl everytime he does that,2018-01-31T16:44:27.000Z,1
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,Just watched it. Great movie (if a little predictable). It made me cry,2017-11-26T02:53:21.000Z,1
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,Should have been called: Their Fakest,2017-11-10T23:46:36.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,What was that choir on the radio when Catrin was in the tube and London was being bombed and Buckley was typing?,2017-10-26T11:00:44.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,It's a great movie. A very good surprise. The actors are all wonderful. The end is amazing.,2017-10-02T05:20:33.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,I really liked this movie. Very charming and quite moving in parts. Loved Gemma Arterton too.,2017-08-30T19:24:47.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,"Another potentially good movie ruined by a pointless, vanilla ""pretty white boy meets pretty white girl of the same age"" romance. Sigh.",2017-08-08T18:14:59.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,"I was expecting this movie to be amazing, but it wasn't very good. I felt like the story line was dry and so was the romance. The ending was very rushed and sudden too. :/",2017-08-01T02:30:11.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,Before Sam Claflin name comes up I thought he was Nicholas Hoult.. I've never been so ashamed....,2017-07-26T06:39:04.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,"Britain's darkest hour is now, thanks to globalists and the social justice freaks. GOD save the Britain.",2017-07-18T18:33:08.000Z,1
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,Love Gemma Arterton,2017-07-07T18:09:48.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,this movie made me cry in 2017 hope you reading this in your future,2017-07-01T20:02:38.000Z,2
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,Enough with these prepackaged World War II movies set in England.,2017-06-28T21:12:38.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,British Hallmark movie.,2017-06-14T09:45:06.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,only thing I like in this trailer was the kiss,2017-06-05T19:21:58.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,If Sam dies on this goddamn movie too....😡😡😤😤,2017-06-04T22:25:08.000Z,1
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,I am not able to download this movie please help! !,2017-05-31T16:44:16.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,"whole movie in 2 minutes,damn definately saved me time.Thanks !",2017-05-27T08:01:01.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,"what a beautiful film! a compelling and inspiring story, relatable characters, emotions galore! was definitely worth the watch for me.",2017-05-23T20:06:30.000Z,0
2017-01-30T16:28:32.000Z,eebasw3h-Lg,Their Finest International Trailer #1 (2017) | Movieclips Trailers,"I loved this movie but just as a heads up to those of you who haven't watched it, it's NOT a comedy. It's incredibly sad but it's an amazing movie.",2017-05-21T20:43:34.000Z,0
