publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,Only like Michael fassbneder when it comes to this movie,2019-09-30T00:49:08.000Z,0
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,Great movie. Great actors.,2019-09-23T21:23:28.000Z,0
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,12 minutes into this GARBAGE. And had to take it off. YAUK! I stay away from mainstream theater for all of the trash they spill out and it’s creeping into Netflix? Disgusting 👎,2019-03-04T01:44:35.000Z,0
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,fookin pikeys,2019-01-01T06:02:47.000Z,0
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,Doesnt look good,2018-11-29T04:55:39.000Z,0
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,Got to be based on the johnsons,2018-09-16T10:49:29.000Z,0
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,3.5 out of 5,2018-08-28T02:41:04.000Z,0
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,This films about the jonsons Traveler family thay was accused of burglary of a rothschilds house were load of gold boxes went missing worth 50 million pound.,2018-06-28T16:10:29.000Z,0
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,After watching this movie I watched it again.... twice. I'm Irish and Brendan Gleeson is one of my top favourite actors..... If you like Fassbinder check out another kick ass movie called Eden Lake.,2018-05-07T11:13:45.000Z,0
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,Why does every movie/ series has to be about crime?! I'm so sick of mainstream movies and series. And this movie being about irish travellers ends up only making irish travellers look bad. There's enough bad press about non-house dwellers.,2018-04-26T01:29:42.000Z,1
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,"I want to watch this but i didn't stop the trailer in time, now ui know what the movie builds up to and nah think i'll give it a miss, maybe watch it on netflix one day.",2018-04-16T11:46:09.000Z,1
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,I thought this movie would have been better than it was,2018-03-25T18:17:04.000Z,1
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,This movie is weird af. It's a way to misrepresent people who don't believe in our world media programming.,2018-02-13T09:35:44.000Z,1
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,This film is based in me home town of cheltenham.,2018-01-07T01:06:27.000Z,0
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,his accent is not good enough,2018-01-06T22:01:14.000Z,2
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,Watch TTTresppppass AAgainst Us online heeeerе => https://twitter.com/ebf277f813c32758f/status/822756576951824384,2017-08-11T02:03:32.000Z,0
2016-09-22T15:00:03.000Z,vnq8jZejw-s,Trespass Against Us | Official Trailer HD | A24,Тreespass AААAgainst Us moooovieeee hеre => https://twitter.com/ebf277f813c32758f/status/822756576951824384,2017-07-30T04:36:32.000Z,0
