publish_time,Video ID,Title,Comment,updatedAt,likeCount
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,I dont know why I decided to watch this trailer and read the comments before reading Insurgent and Allegiant because some people don't understand that they should tell that they are going to spoil the whole story!!!,2019-11-16T21:49:32.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,Thank god her hair grew back,2019-11-09T23:16:20.000Z,1
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,Part 5: Watermelon,2019-11-09T16:21:14.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,It's funny because almost none of this is in the book 😂,2019-11-07T02:56:41.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,yah this movie sucked absolute ass,2019-10-16T11:19:04.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,the only good part in this trailer is when theo got cocky with the gun.,2019-10-11T08:41:01.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,I miss tris having long hair...,2019-10-10T02:55:03.000Z,1
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,I’m reading allegiant rnnnnn,2019-10-04T22:15:47.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,"The trailer makes it look really good, but from what I know about the first two movies, it probably won’t be.",2019-09-29T02:20:11.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,I KNEW IT! that’s Bill Skarsgård and Andy Bean! Andy looks so different without a beard haha. and Bill Skarsgård is GORGEOUS,2019-09-28T17:47:49.000Z,1
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,well now I know who the bad guys are from a 2 minute trailer,2019-09-26T20:13:46.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,Why do i have the feeling that i have seen the entire film in 2:24 ?,2019-09-23T20:25:24.000Z,1
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,Umm... is no one going to mention Pennywise here?,2019-09-21T05:55:48.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,0:47 Lol that's Pennywise,2019-09-14T07:28:36.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,its pennywise,2019-09-14T00:45:40.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,"not my can for film, sorry, my new lion king film",2019-09-13T06:40:47.000Z,1
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,"I kinda wanna see a au where tobias and peter became friends after peter ""reset"" or whatever",2019-09-10T22:25:25.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,"Random girl: thatll take u a while to get the hang of
Tobias: *does bam bam ziggly ziggleworp* i think i got the hang of it 

🤣🤣",2019-09-10T22:24:47.000Z,1
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,"""Nothing creepy about that"" 😂😂",2019-09-10T22:22:24.000Z,1
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,If tris hadnt left her gun outside the simulation room im pretty sure the series wouldve ended a lot different 😭😭😭,2019-09-10T22:21:13.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,Her haircut reminds me of Rachel from Friends season 1,2019-09-10T22:19:07.000Z,2
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,In the book she goes into a room and destroys the programme and herself,2019-09-10T07:48:04.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,The Truth Lies Beyond,2019-09-07T02:33:12.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,Brush half the stuff in the trailers never happened. All 3,2019-09-04T03:28:26.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,Is that megan trainor?,2019-08-28T13:50:47.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,Does anyone know part 4 of this.,2019-08-15T14:11:52.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,I wish i knew how to download songs or movies to my phone,2019-08-12T08:53:09.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,Uhh too much info on the trailer chill so spoiling,2019-08-06T19:11:36.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,"Plz dubbed in hindi,",2019-08-06T12:58:02.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,divergent(movie) was really good but after they changed directors it all went down hill. like you can really see the difference in style between divergent and insurgent. they really had so much potential with this series it saddens me. love the books,2019-07-22T03:16:32.000Z,1
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,Love how this trailer came out a week before Mockingjay part 2 came out,2019-07-09T15:02:53.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,"""A safe place like Chicago""
*THE BEST JOKE I HAVE EVER HEARD*",2019-07-01T12:21:12.000Z,12
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,"the most bullshit movie i’ve seen, they really fucked this series up man",2019-06-27T02:21:11.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,"Honestly I had watched all the Divergent films, they are very much fascinating and entertaining. This is why I decided reading the books (not to mention it were actually my first books to read.. coz honestly I'm not a reader). And I was so attached. Researching about it and end up watching every trailers of the trilogy and here I am very much of a disappointed that the books were not actually followed-- the story was changed. Just to mention, I am a short-termed-memory person and I actually believed the films was based on the book while reading it. I made myself believe that it were followed not until I watched the trailers (and I am planning rewatching the film tomorrow) it definitely were different stories with some of the book's plot. And of course it's disappointing. 

But as I have mentioned, I had watched the films first before I was ever able to read the books and as considering the film as a stand-alone, I'd say it were made with great creativity and skill, that made people love the characters",2019-06-16T18:17:22.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,This movie i'm like tris and four   romantice 💑,2019-06-10T13:28:57.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,I actually hope to watch Allegiant part2 but since i people said tris died in novel so i guess its better to pretend the story just end at allegiant part 1. At least four & tris still together at the end.,2019-06-03T17:18:27.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,""" To the Boys I've Loved Before""
The fault in our stars-Caleb
The spectacular Now- peter",2019-05-29T17:30:46.000Z,2
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,"Watches the first movie, hmm not to bad
Watches the second movie, nice this is pretty cool
Watches the third movie, I wish I had died after seeing the second movie so I didn't have to see this --__--",2019-05-19T12:53:58.000Z,1
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,*Nice maze runner reboot*,2019-05-18T15:45:54.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,I saw the comment that you made on the tati vs james,2019-05-16T00:05:24.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,Forget you,2019-05-16T00:04:51.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,WOW the book is SO much better. But I’m happy to see it as a movie,2019-05-13T15:11:03.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,WAS THAT BILL SKARSGÅRD?!?!?,2019-05-08T14:16:50.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,Gutted we’ll not get to see the ending with all these actors/actresses. It should’ve been done properly.,2019-05-07T22:02:16.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,You should've made the movie more like the book.,2019-05-03T12:57:55.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,Lmao Chicago is a total dump shit hole,2019-04-29T20:30:13.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,The next one will be called detergent.,2019-04-25T23:04:19.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,wtf i never knew there was a 3rd film??,2019-04-20T17:04:02.000Z,2
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,WOAHHHH,2019-04-01T02:16:26.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,If you don’t think about that this is supposed to be based on a book then it’s a actual a pretty good movie,2019-03-31T04:31:30.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,How the heck is this Allegiant? It looks nothing like it's supposed to,2019-03-29T17:05:03.000Z,0
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer – “The Truth Lies Beyond”,the end of the trailer literally none of that stuff happened like when Christiana said this isn't  us against us the didn't happen like that,2019-03-29T12:54:56.000Z,5
