publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"Read this book in 2017 from my old english teacher.

Love ya Mrs. Sult.",2019-11-17T04:17:43.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,oh wow... this looks authentic.. lol im writing an affidavit for the custody removal for my 2nd year law class.. sorry woody your charm just cant cut the sharp knife of the law,2019-11-13T20:16:49.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"I really hope they didn’t tweak it as much as it seems they did, I love this book.",2019-11-11T16:52:01.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,The casting is perfect!,2019-11-10T03:04:49.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"I've cried so much watching this movie... reminded me of my dad, so damn smart yet a dreamer, suffering reality !",2019-10-18T21:48:19.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,This movie makes me cry every time,2019-10-14T04:39:46.000Z,1
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Book was better,2019-10-05T19:17:00.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"Hands down one of the best movies and Woody Harrelson should get an award for best Actor! Unforgettable and deeply moving film , I cried and laughed with the rawness of heart and vision this film has 😘❤",2019-10-05T08:07:27.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Watching this just for The Lumineers,2019-10-01T11:14:28.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,This song perfectly match with there lives,2019-09-29T04:11:44.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Who’s reading the book in 2019,2019-09-29T01:05:31.000Z,101
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Any movies similar to this?,2019-09-19T20:25:10.000Z,1
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Whats the songs called?,2019-09-19T17:04:55.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Ew it’s Brie Larson,2019-09-16T23:51:06.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,who else loves sadie sink???,2019-09-14T19:55:19.000Z,1
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,SCHMIDT!!!!!!,2019-09-11T21:53:54.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"I’m taking class now and my teacher using the book now. She doesn’t want us to watch the movie. Lol we need to read the book first she said. After reading it,we will watch the movie in the classroom.",2019-09-05T16:58:49.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,I was an instructor in a Canadian summer camp when I read the book. I LOVED IT! So happy the movie is on Netflix,2019-08-24T11:20:32.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,this book made me so depressed,2019-08-13T16:27:33.000Z,1
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,It actually portrays the book well. I fairly enjoyed it,2019-08-09T15:18:14.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"Just finished to watch the movie, have to say that ending part got me in tears. Soo emotional . Was a great movie.",2019-08-05T00:42:08.000Z,2
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,I just finished this book and seeing Brie Larson in the movie almost makes me not wanna see it,2019-07-21T16:21:43.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,EllaAndersonEllaAndersonBRIELARSONEllaAndersonEllaAnderson,2019-07-11T14:04:03.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"I'm not even going to lie, when I read the book I pictured it just like how this movie looks. That is actually crazy.....",2019-07-06T06:58:23.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,I remember reading this in English. It was mainly just my class saying how bad at parenting the parents were.,2019-07-05T03:27:07.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,SADIEEEEEEEEEEEE,2019-07-04T06:31:00.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,The amount of times i cried from this movie🙌🙌😭,2019-07-01T03:34:34.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Second song-Reuben and the dark - Black water,2019-07-01T00:21:24.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Sadie and Brieee ❤️,2019-06-11T17:32:43.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,I honestly feel like this should’ve been a mini series of 8 or 10 episodes because there’s enough story telling and source material to work with,2019-06-01T22:32:30.000Z,5
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,it's that song!!!!,2019-05-30T10:18:56.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Brie deserved an Oscar for this performance,2019-05-25T03:07:51.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,I am cry 😭,2019-05-23T21:28:45.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,I have never cried so hard in my life,2019-05-15T15:25:31.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Woody with hair is a perfect Mr. Incridible in real life.,2019-05-13T13:29:24.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Just finished the book. Should i watch this or will it piss me off?,2019-05-13T13:22:33.000Z,1
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Keenu Reeves should’ve played Rex,2019-04-21T17:29:33.000Z,1
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"One of the best performances in a movie that I have ever watched, coming from a person that hasn't read the book. Woody harrleson is amazing!",2019-04-15T00:45:12.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Anyone know the song of 1:24?,2019-04-12T18:56:01.000Z,1
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Head canon confirmed: the Brie Larson who played Captain Marvel is a skrull doppelgänger who can’t act,2019-04-12T11:30:28.000Z,1
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"They make the mom look good but she is actually the most selfish and irresponsible one, she can’t make a single decision for herself. If anything, I think that Rex is a better father then Rosemary is as a mother",2019-04-09T23:45:37.000Z,1
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"I read the book last week and had no idea there was a movie! I cannot wait to watch it, hope it’s on Netflix",2019-04-04T20:40:54.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,god i literally cried after reading the book and then i find out that brie larsen stars in the movie??? i must be in heaven,2019-04-01T00:47:11.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,This looks pretty good. How did I not know about this movie back in 2017?,2019-03-31T07:31:37.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"Abusing your children is just how you build up their character, duh.",2019-03-28T20:43:04.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Why the opening scene looks exactly like the one from Eternal Sunshine of a Spotless Mind? Or is it just me? :D,2019-03-07T22:46:19.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"THIS IS NOT A FEEL GOOD DRAMA - IT IS DARK AND DYSFUNCTIONAL STORY OF HER FAMILY. 
BUT SOOO SOOO REAL. AND LET THAT BE WHAT PULLS YOU IN.",2019-02-23T18:24:23.000Z,4
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,I'm going to watch home of our own instead,2019-02-21T04:49:41.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"I’m reading the book right now, and this movie looks pretty good",2019-02-19T20:52:08.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Why is nobody talking bout sadie?,2019-01-27T03:31:00.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Where's sadie?,2019-01-27T03:29:41.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"Spoiler alarm - very misleading ending showing how brainwashed people (the female lead) cannot deny where they came from and throws away her future with a man, who loves her just because the man is a non alcoholic and  wealthier than her father was. But other than that it was a great movie although most of the people are not that forgiving as that female lead i am sure i would be not :)",2019-01-22T21:54:46.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,the dad was really abusive but I think deep down he actually loved his children,2019-01-14T07:35:01.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,It’s the best movie that i ever have see in my life men men men love you walls,2019-01-06T11:37:07.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"fantastic movie, I cried my eyes out.",2019-01-05T08:00:44.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,I have this book and I'm reading it now,2018-12-28T03:12:12.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Didn't do justice to a fine biography?,2018-12-23T03:13:49.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,This film was absolutely beautiful and Brie deserved Oscar nomination for this,2018-12-16T11:56:39.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,reading the book now. the glass castle.,2018-12-09T19:20:22.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,i have a feeling this one's gonna hurt *real bad* 😭,2018-12-03T17:10:15.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Heart-touching,2018-12-01T20:11:09.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,When a Manic Pixie Dream GIrl and a Manic Pixie Dream Boy got together and had a family in the real world,2018-11-24T14:09:36.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Just watching the trailer made me cry,2018-10-30T02:03:33.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Greet movie,2018-10-19T12:50:25.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Great movie great story!,2018-10-02T03:40:09.000Z,2
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Book was ok. Probably never gonna read it again.,2018-09-29T04:24:45.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,MUST WATCH MOVIE. It is AMAZING. Very underrated,2018-09-23T06:11:32.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"As somebody who read the book, this movie was painful to watch. They skipped like half the book and replaced it with unnecessary plot twists that didn't add to the story.",2018-09-05T14:44:06.000Z,1
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"this book was assigned for summer reading. im on page 175 and school starts in 2 days. wish me luck lol. also this trailer portrays the parents as good people and makes the story seem somewhat happy but also dramatic, which it was but the mood seems a but off... oh well i wont judge too much yet because i havent seen it and i havent even read the whole book",2018-08-25T08:23:40.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,what's the name of the song in the background,2018-08-18T07:08:38.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,bless you conan gray 💜,2018-08-18T05:35:08.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,"A book on this would bore me shitless, the movie is very touching, and I think many adults went through what happens in the movie. I give it 8/10",2018-08-05T23:48:37.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Heads up! This is the BEST and most authentically written and directed movie I have seen on Netflix in a VERY long time. The casting and acting is supreme. Watch it and love it. It is pure gold.,2018-08-01T22:48:11.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,Sadie sink!! I love her,2018-07-26T18:24:16.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,this looks way more uplifting than the book for some reason. i found the book depressing as hell,2018-07-25T03:51:01.000Z,0
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,i dont like the movie i just love ella anderson 😍😍,2018-07-23T19:49:40.000Z,0
