publish_time,Video ID,Title,Comment,updatedAt,likeCount
2014-06-25T07:05:02.000Z,q94n3eWOWXM,FURY - Official Trailer,J'aime Rai regarder Fury français gratuit youtube ces supposée être gratuit toultan cie non ces pas bon comme cite,2019-11-19T22:38:14.000Z,0
2014-06-25T07:05:02.000Z,q94n3eWOWXM,FURY - Official Trailer,awesome,2019-11-18T08:13:15.000Z,0
2014-06-25T07:05:02.000Z,q94n3eWOWXM,FURY - Official Trailer,ON THE WAY✴,2019-11-16T23:39:38.000Z,0
2014-06-25T07:05:02.000Z,q94n3eWOWXM,FURY - Official Trailer,poor emma,2019-11-16T23:38:53.000Z,0
2014-06-25T07:05:02.000Z,q94n3eWOWXM,FURY - Official Trailer,"5 years later and I still love this film!
Seeing the amount of hate comments like “hOw CaN tHeIr tAnK bEaT tHe TiGeR”, it’s a movie 🙄, not everything has to be 100% realistic. I don’t know much about tanks, but in films, anything can happen and anything is possible, smh.",2019-11-14T05:43:37.000Z,0
2014-06-25T07:05:02.000Z,q94n3eWOWXM,FURY - Official Trailer,I saw this fury movie tomorrow night and trust me guys it's super fantastic plz make another one 🤙🤙🤙🤙,2019-11-13T13:14:29.000Z,0
2014-06-25T07:05:02.000Z,q94n3eWOWXM,FURY - Official Trailer,"Any 2019?
Just watched the movie for 3rd time😍,,
Fav war movies
Fury,
Saving private Ryan
Hacksaw ridge 
Dunkirk
Enemy at the gate,, 😍😍😍",2019-11-01T19:07:32.000Z,7
2014-06-25T07:05:02.000Z,q94n3eWOWXM,FURY - Official Trailer,The opening battle voice-over narration of Fury (2014) before the first scene is shown and Marvel's Infinity War (2018) are virtually identical.,2019-10-04T01:25:21.000Z,1
2014-06-25T07:05:02.000Z,q94n3eWOWXM,FURY - Official Trailer,"Just watched it , and I have to say it was phenomenal. I cried so much!",2019-09-28T17:22:18.000Z,0
2014-06-25T07:05:02.000Z,q94n3eWOWXM,FURY - Official Trailer,"Me gustó. El más duro, tiene un lado sensible.",2019-09-09T18:20:43.000Z,0
2014-06-25T07:05:02.000Z,q94n3eWOWXM,FURY - Official Trailer,"حرب عالميه ولان مستقلين وعايشين بسلام واحنه بلعراق عدد قليل من الارهابيه ماكدرنا نصدهم من ال 2003 ولهاذة يومنه 
لان حكومتنه ايرانيه وليست عراقيه",2019-09-01T09:25:58.000Z,0
2014-06-25T07:05:02.000Z,q94n3eWOWXM,FURY - Official Trailer,Nice hair:),2019-08-14T19:22:26.000Z,0
