publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),I've just seen the entire movie.  a 4 min trailer.....,2019-11-01T10:34:19.000Z,1
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Film Four girl,2019-10-21T15:45:15.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),1:38 OMFG HAHAHAHAHAHA,2019-10-20T08:30:33.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),"i mean, are drugs really that common? i dont get it, every hollywood movie these days make it seem like everyone and their mother is a drug junkie of somesort...",2019-10-02T01:38:20.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),"For people who love drama, suspense type movies😍",2019-09-30T11:39:44.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Alice is annoying,2019-09-28T12:49:29.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),"i’m sad that this movie gets so many dislikes, i actually think this is really funny and great, idk why do yall hate on it so much...",2019-09-23T19:07:44.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Bruh! I gotta watch this movie!,2019-09-21T19:42:16.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),scarlett’s acting oh,2019-09-07T18:37:48.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),They just showed the entire movie in this trailer,2019-08-18T04:55:39.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),This is just like girls trip..😑,2019-08-11T12:04:00.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),I've seen this movie twice and it's still one of the most fun movie I've ever watched!,2019-08-10T10:53:13.000Z,1
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Its better then girls trip its my favourite movie yeah whatever it just is,2019-08-02T21:20:23.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),I am still wondering if the diamonds is in the toilet where the guy goes before stripped,2019-07-26T16:59:17.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),🤢🤮,2019-07-25T09:00:50.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),What's the song at 0:53,2019-07-22T19:51:23.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Tried making hangover,2019-07-19T19:13:45.000Z,1
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Kate Mckinnon is fookin hilar.,2019-07-16T04:51:55.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Great movie,2019-07-09T16:47:01.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Just watch it on Netflix and this movie is really really bad but in the way that you can yell at it with your friend.,2019-07-08T03:31:38.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),The biggest pile of shite!! Avoid at all cost!!! Scarlett Johanson only decent actor.,2019-07-06T06:35:05.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),What garbage!,2019-06-12T01:57:42.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),0:55 That is scaring me. I'm sleeping with the light on tonight.,2019-06-11T06:27:09.000Z,6
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),It's like girls trip,2019-06-07T07:06:07.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),I actually loved the movie. I never laughed so hard😂😂,2019-06-05T07:20:30.000Z,14
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Queefs,2019-06-02T04:11:50.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Hilarious. Weekend at Bernie's female version,2019-05-30T22:56:34.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),I watched this movie 5 times. I love it!,2019-05-30T16:44:33.000Z,1
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),So this is the feminist version of Hangover meets Very Bad Things.,2019-05-28T17:19:32.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Why on Earth would that fat girl jump on that striper. She is the reason why he is dead,2019-05-26T04:06:03.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),This movie was worse than the WNBA,2019-05-22T03:04:36.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),2:00 that song worked very well,2019-05-21T04:19:02.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Hangout with sex,2019-05-17T09:09:55.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),So Black Widow is here all along,2019-05-12T08:01:08.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),The best joke was the human centipede,2019-05-11T10:11:12.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Everyone thats preaching how bad and trash the humour is can you suggest me a good comedy movie     thank you,2019-05-07T18:27:22.000Z,0
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),I'm livin' for scarlett 😍,2019-04-29T13:40:35.000Z,6
2017-03-08T19:00:05.000Z,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),This movie is so funny !!,2019-04-29T02:19:25.000Z,0
