publish_time,Video ID,Title,Comment,updatedAt,likeCount
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,Trailer Begins at 0:06,2018-07-17T12:07:46.000Z,1
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,hey Katy remember the experience with the flute,2018-07-08T16:01:02.000Z,0
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,Nice but no movie,2018-06-09T16:03:54.000Z,0
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,the first one was better but was still a good movie,2018-02-22T02:11:31.000Z,0
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,Trailer,2018-02-18T22:42:53.000Z,0
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,Roblox The Lost City From Movie,2017-11-18T21:05:52.000Z,0
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,I like the voice of Papa Smurf.,2017-09-20T17:36:30.000Z,1
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,music song,2017-04-18T12:34:38.000Z,0
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,666 Dislikes,2017-01-26T21:51:36.000Z,1
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,THERE TAKEING SMURF!,2017-01-14T15:06:19.000Z,0
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,katy perry slays it all,2017-01-08T16:47:45.000Z,2
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,katty perry looks good,2016-11-19T16:58:15.000Z,0
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,The Smurfs 2 came out on July 31,2016-10-18T01:15:26.000Z,0
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,The Smurfs 2,2016-10-18T01:15:07.000Z,0
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,Who else ships smurfette and the emo-ish Naughty? I mean ehy else use 2 with fingers amiright ;),2016-08-25T15:21:02.000Z,1
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,I miss this,2016-08-13T12:21:19.000Z,0
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,to watch  this movie  or any  go  to  123movies,2016-06-21T16:47:57.000Z,0
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,Smurfs 2 is impressive film,2015-12-17T20:19:13.000Z,1
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,Get the limited edition box set with snubnosed revolver and plastic furniture cover for after you've watched the whole thing,2015-09-02T01:51:55.000Z,3
2013-06-20T06:52:20.000Z,W-yEIIMtwCA,SMURFS 2 (3D) - Official Trailer - In Theaters JULY 31st,"Am I the only one that can't watch 1:04 without thinking about...

""Bang bang bangity bang


Bang bang bangity bang""",2015-08-17T02:52:14.000Z,2
