publish_time,Video ID,Title,Comment,updatedAt,likeCount
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,"<Hey you femtard ass kissing pieces of shit, take a look at the box office results of Lesbonator vs Mexicanator.  That's a preview of how your next Bond instalment will do.  Now take a look at the box office results for that movie that doesn't shove SJW and agenda down audience's throats despite mainstream media's attempt to demonize it.  Joker will hit $1B in just over a month.  Get Woke, Go Broke you fucktards>",2019-11-13T16:15:03.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,Now this is a trailer!,2019-08-16T12:16:52.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,o,2019-08-04T21:01:28.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,SPECTRE = in the States we call it the DEEP STATE !,2019-07-27T14:38:34.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,"The name is Damme, Van Damme, Jean Claude Van Damme.😂😂😂😂",2019-04-21T15:21:31.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,Mamá Imelda Rivera was here?,2019-01-30T05:03:43.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,Most ATROCIOUS movie series in the history of Hollywood,2018-11-29T16:49:18.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,I’m only 14 and I love this movie and Skyfall,2018-09-26T03:12:48.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,https://these-can-be-future-hollywood-movies.blogspot.com/2018/08/the-task-includes-james-bond-john.html,2018-08-18T18:53:12.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,Spectre the best film,2018-08-14T16:33:29.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,"1:45
Wait... wait, wait, wait, is that... is that the goddamn OHMSS tune?",2018-05-26T02:02:59.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,I don't stop to think about it .,2018-05-24T14:29:40.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,"Daniel Craig ist der Beste "" James Bond "" 🔥🔥🔥",2018-04-29T08:52:18.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,"Anyone else notice that they use a version of the theme from ""On Her Majesty's Secret Service"" in this trailer?",2018-02-19T00:19:07.000Z,1
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,its a bad movie,2018-01-25T03:51:25.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,The writing's on the wall is epic theme song for Spectre.👍👍👍😃😃😃,2018-01-06T08:21:11.000Z,1
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,"Ruth Wilson for Bond Girl!
Idris Elba for James Bond!",2018-01-03T21:22:51.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,daneil craig best bond ever,2017-12-07T11:19:08.000Z,2
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,"Awesome movie. Awesome actor. i met him here last month in the Philippines at City of Dreams Manila, he is good person. i know cause im the one who serve his food😁",2017-11-07T17:01:29.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,gonna check this out,2017-10-18T10:02:46.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,"Man the opening of this movie was great, the rest of the movie? Well.......",2017-10-07T00:02:26.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,"The name is Bond................. James bond 





OO7🔫",2017-10-05T09:08:22.000Z,1
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,It's not skyfall but i like it too,2017-09-08T17:38:31.000Z,1
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,"""... no, I think I'll call you ""C""",2017-07-24T23:07:06.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,Cuckoo...,2017-07-24T23:06:00.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,2019 is too long to wait!!,2017-07-24T23:05:19.000Z,1
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,Love this trailer! 😁,2017-07-24T23:04:42.000Z,0
2015-07-22T07:01:02.000Z,ujmoYyEyDP8,SPECTRE - Official Trailer - November 6,My friends dont like James Bond... i dont know how is that even possible 😂,2017-07-24T12:23:42.000Z,0
