publish_time,Video ID,Title,Comment,updatedAt,likeCount
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Why this is recommended to me ?😂😂🤨 its almost 5 years movie has been released,2019-11-19T14:21:39.000Z,1
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Recommended video!! Anybody?,2019-11-18T20:55:06.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),The fking Rhino fight is much better here than in the movie xd,2019-11-15T13:52:38.000Z,1
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),"I feel like if the MCU made this film, it would seem like cinematic gold to most people.",2019-11-15T05:05:13.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),"2:07 Best part

Change my mind",2019-11-10T03:35:35.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),"2:07 Best part

Change my mind",2019-11-10T03:35:28.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),I miss you Andrew Garfield,2019-11-08T19:18:55.000Z,1
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),I only just realised 5hat you can see the daily bugle at 0:41,2019-11-08T08:05:19.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),"The Sinister Six of TASM 3:
- Doc Ock
- Green Goblin
- Rhino
- Vulture
- Mysterio
- Kraven the hunter

SONY PICTURES MAKE TASM 3 WITH ANDREW GARFIELD PLEACE!!!!! 😭😭",2019-11-07T01:09:16.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Excellent,2019-11-04T18:02:03.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),2014?!,2019-11-01T22:56:15.000Z,1
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),why this trailer recommended to me now 🤖,2019-11-01T21:08:24.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),0:18 cinema sins? Lmaoo,2019-10-29T20:43:02.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),I wish Amazing Spider Man 3 was made,2019-10-28T05:48:35.000Z,3
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Man the hype for this movie was just amazing!! This trailer and movie gave chills as a 12 yr old kid and it still does give me. You deserve better Andrew Garfield,2019-10-27T11:37:02.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),"Who is still watching in 2020? 





This not an edit by the way, I’m from the future/present day",2019-10-27T04:14:30.000Z,1
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),His greatest battle bigends,2019-10-25T23:03:43.000Z,1
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Why am I here???,2019-10-24T21:48:45.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),2:09 this scene in this trailer still gives me some goosebumps. That's really cool,2019-10-23T15:00:23.000Z,1
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),*DECEPTION*,2019-10-12T21:31:34.000Z,1
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),"What do you get when you have an iconic character and you pair it with a company that treats it like trash? I'll tell you what ya get


YA GET WHAT YA FUCKIN DESERVE! (Spiderman is back in mcu again)",2019-10-08T12:31:06.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),"2013: no
2014: nah
2015: nope
2016: still no
2017: no
2018: yet again no
2019: LETS PUT THIS IN YOUR RECOMMENDATIONS",2019-10-07T21:24:57.000Z,2
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Who watching in 2020 yoooo,2019-10-07T04:47:35.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),I was so hyped for this and then........,2019-10-07T04:09:02.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Recommended?,2019-10-07T01:46:25.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Oct 2019 ?????,2019-10-06T13:20:40.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),R.I.P YouTube algorithm,2019-10-06T05:05:16.000Z,2
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Who is here after The Amazing Spider-Man 3 trailer?,2019-10-05T19:15:31.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Now I realise Tom Holland's Spiderman is shitty af,2019-10-05T08:14:00.000Z,2
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),anyone else after far from home?,2019-10-05T07:19:51.000Z,0
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Embarrasing to look at this 5 years after its release. The trailer is still better than the movie.,2019-10-04T13:09:07.000Z,1
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Still watching in 2045?,2019-10-01T20:28:27.000Z,1
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Came here after Iron Boy Far From Responsibility,2019-10-01T14:01:41.000Z,2
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Кто смотрит в 2019 году? Ставь лайк!),2019-09-29T20:19:12.000Z,1
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Youtube recommendations brought me here,2019-09-26T12:44:59.000Z,2
2013-12-05T13:26:27.000Z,nbp3Ra3Yp74,THE AMAZING SPIDER-MAN 2 - Official Trailer (HD),Why is this now recommend for me ? 😂,2019-09-25T07:54:47.000Z,0
