publish_time,Video ID,Title,Comment,updatedAt,likeCount
2012-02-05T01:58:08.000Z,-tnxzJ0SSOw,THE AMAZING SPIDER-MAN 3D - Official Trailer,not a bad movie,2019-11-13T08:38:08.000Z,0
2012-02-05T01:58:08.000Z,-tnxzJ0SSOw,THE AMAZING SPIDER-MAN 3D - Official Trailer,I forgot how much I liked watching it's trailers. 😤,2019-11-10T18:10:40.000Z,0
2012-02-05T01:58:08.000Z,-tnxzJ0SSOw,THE AMAZING SPIDER-MAN 3D - Official Trailer,I come back to reminisce,2019-11-07T03:00:44.000Z,1
2012-02-05T01:58:08.000Z,-tnxzJ0SSOw,THE AMAZING SPIDER-MAN 3D - Official Trailer,At 0:22 it looks like he's holding a LEGO stud lmao,2019-11-07T01:29:24.000Z,1
2012-02-05T01:58:08.000Z,-tnxzJ0SSOw,THE AMAZING SPIDER-MAN 3D - Official Trailer,"Best line in the trailer: ”If you want the truth Peter, you'll have to wait till the sequel to get it. By then, no one will care”.",2019-10-27T01:42:10.000Z,1
2012-02-05T01:58:08.000Z,-tnxzJ0SSOw,THE AMAZING SPIDER-MAN 3D - Official Trailer,"Thats y i dont like trailers, so i dont watch them before the movie!",2019-10-13T12:35:31.000Z,0
2012-02-05T01:58:08.000Z,-tnxzJ0SSOw,THE AMAZING SPIDER-MAN 3D - Official Trailer,Why is he so skinny? Hadn't he for some time to make the better shape? Movie is fine. Trailer is great.,2019-10-07T12:35:45.000Z,0
2012-02-05T01:58:08.000Z,-tnxzJ0SSOw,THE AMAZING SPIDER-MAN 3D - Official Trailer,💔😭,2019-10-04T13:42:58.000Z,1
2012-02-05T01:58:08.000Z,-tnxzJ0SSOw,THE AMAZING SPIDER-MAN 3D - Official Trailer,So people hated this and it was like oh he wasn't heard this series was a great Spiderman into shame that they didnt finished it,2019-10-02T17:46:28.000Z,0
2012-02-05T01:58:08.000Z,-tnxzJ0SSOw,THE AMAZING SPIDER-MAN 3D - Official Trailer,2076--- who???,2019-09-28T19:33:10.000Z,2
