publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),"poor Joseph...he was tricked...
Leviticus 20:10 prescribes capital punishment for adultery between a man and married woman: And the man that committeth adultery with another man's wife, even he that committeth adulterywith his neighbour's wife, the adultererand the adulteress shall surely be put to death.",2019-06-25T23:06:05.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),"""King Herod is up to something"" 

-Oprah Winfrey 2018",2019-05-21T18:35:09.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),"I went to go see this movie with my little cousin when it came out, frankly I'm not impressed. It was all around pretty crappy if you ask me.",2019-04-21T22:55:47.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),".Darn, another Jesus fairytale. Not buying that stuff.",2019-02-10T21:32:10.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),uhhh keith kogane who?,2019-01-05T04:04:08.000Z,1
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Yeah there is no sun of godOK,2018-08-07T16:42:11.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),"tbh I was expecting to see a lot of hate from non-Christians since it's a religious movie but there's far more hate from Christians shunning it for not representing the bible right. I'm not religious but I'm glad for religious kids to have media that's ACTUALLY GOOD instead of shit like Donkey Ollie and Joshua and the Promised Land. The bible's 2 millenia old feel free to modernize it god dammit
(I'm not saying it's a good movie, but I sure am fine with its synopsis)",2018-07-09T04:09:03.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),"I didn't even know this existed, please tell me they actually do it good like the Prince of Egypt, now that was a good telling of a Bible story... what even is this telling, ""the first Christmas"" didn't happen on the Birth of Jesus....",2018-06-29T05:29:56.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Turkey turkey allah vekber ezik amarica,2018-05-31T14:34:35.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Tot is the best,2018-04-06T21:24:58.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Sony Pictures Animation: How can we make Jesus’s story any better? With comedy relief characters in an insulting movie.,2018-03-30T02:35:11.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Sony why....,2018-02-26T01:18:02.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),THIS IS A GRAT MOVE,2018-02-22T16:05:52.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),شوكت يطلع,2018-01-08T14:23:31.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Pogan  la   peliculas    completa☺,2017-12-17T17:21:59.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),estou louco pra ouvir a voz da cristina  mel  na voz da maria  .,2017-12-14T19:33:31.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Yassss,2017-12-06T21:54:18.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Que lixo,2017-12-03T12:58:10.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),This is FUCKING OFFENSIVE FUCKKKKKKK,2017-11-30T01:05:12.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Wait wait wait wait. Miracles from Heaven was from the same studio as this and cloudy with a chance of meatballs....??? But... but... how????,2017-11-28T22:10:34.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),👎,2017-11-26T18:53:57.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),"Lighten up, people!  They may have changed some details of the story but it might be the only way some kids are exposed to the Christmas story and the birth of our savior.  I'm taking my grandson to see it, with his mother's approval.  We are all Christians and I doubt if it's going to scar us or turn us into atheists.  smh",2017-11-26T15:29:28.000Z,4
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),I loved this trailer,2017-11-25T22:56:57.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Another way to make money off of Christmas,2017-11-23T02:49:48.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),what is so wrong about a kids movie about jesus gosh you people need to stop complaining about jesus he died for you,2017-11-21T07:38:23.000Z,6
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Don't believe the grumpy reviews. This is a very enjoyable movie. Very funny and simple humor not rude or full of innuendos. Will enjoy watching this for Christmases to come.,2017-11-18T18:49:22.000Z,4
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Christmas came from pagan traditions and Christianity stole it.,2017-11-18T04:34:06.000Z,2
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Statan gives the film one half of a star out of five.😈,2017-11-16T21:18:53.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),How can you make something look funny from out of the bible with upsetting someone?,2017-11-16T20:31:56.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Does this count as Hollywood sexually assaulting me?,2017-11-15T03:02:25.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),The Little Drummer Boy did it first.,2017-11-14T02:26:50.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),I love Jesus. Merry Christmas everyone. Peace on Earth and Goodwill to All.,2017-11-13T00:45:53.000Z,10
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Finally a Manger Babies movie! Britney Murphy would be proud.,2017-11-11T03:08:16.000Z,0
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Sony cannot make good movies.,2017-11-09T21:30:39.000Z,2
2017-07-26T18:08:54.000Z,r3pIJ6ulE1c,The Star | official trailer #1 (2018),Why are two of the most famous black people depicting Joseph Jesus and Mary as non black,2017-11-09T04:38:28.000Z,0
