publish_time,Video ID,Title,Comment,updatedAt,likeCount
2012-11-16T04:26:05.000Z,gUDtdx-brtw,Beautiful Creatures (2013) Official Trailer [HD],I can really wait to see this one too🙈😳😎🤔👌👌,2018-07-29T07:13:32.000Z,0
2012-11-16T04:26:05.000Z,gUDtdx-brtw,Beautiful Creatures (2013) Official Trailer [HD],I liked the series so much I named my channel after it.,2018-02-22T12:29:21.000Z,0
2012-11-16T04:26:05.000Z,gUDtdx-brtw,Beautiful Creatures (2013) Official Trailer [HD],Guys I definitely recommend the whole series. And don’t forget to read “dangerous creatures” 😈❤️👍,2018-02-22T12:28:48.000Z,0
2012-11-16T04:26:05.000Z,gUDtdx-brtw,Beautiful Creatures (2013) Official Trailer [HD],This movie was so fucking weird. Tried remembering the title and it's so hard to find because the movie does a million things in 2 hours.,2017-11-16T02:16:52.000Z,0
2012-11-16T04:26:05.000Z,gUDtdx-brtw,Beautiful Creatures (2013) Official Trailer [HD],Porn,2017-08-12T14:17:49.000Z,0
2012-11-16T04:26:05.000Z,gUDtdx-brtw,Beautiful Creatures (2013) Official Trailer [HD],sexvieo,2017-08-12T11:26:18.000Z,0
2012-11-16T04:26:05.000Z,gUDtdx-brtw,Beautiful Creatures (2013) Official Trailer [HD],km in,2017-08-10T22:38:32.000Z,0
2012-11-16T04:26:05.000Z,gUDtdx-brtw,Beautiful Creatures (2013) Official Trailer [HD],b f,2017-08-10T17:46:32.000Z,0
2012-11-16T04:26:05.000Z,gUDtdx-brtw,Beautiful Creatures (2013) Official Trailer [HD],Wait. Wtf is this,2017-07-21T13:10:35.000Z,0
2012-11-16T04:26:05.000Z,gUDtdx-brtw,Beautiful Creatures (2013) Official Trailer [HD],na,2017-07-19T09:14:05.000Z,0
2012-11-16T04:26:05.000Z,gUDtdx-brtw,Beautiful Creatures (2013) Official Trailer [HD],"Usually I don't like to talk think movies are bad, they always have some hidden beauty but man was this a pile of steaming shit....",2017-06-15T21:09:54.000Z,1
2012-11-16T04:26:05.000Z,gUDtdx-brtw,Beautiful Creatures (2013) Official Trailer [HD],"How did they get Emma Thompson, Viola Davis,  and Jeremy Irons to appear in this piece of crap?",2017-03-17T16:34:51.000Z,6
2012-11-16T04:26:05.000Z,gUDtdx-brtw,Beautiful Creatures (2013) Official Trailer [HD],What Florence + the machine song is that??????,2017-02-27T21:48:17.000Z,0
