publish_time,Video ID,Title,Comment,updatedAt,likeCount
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,"Watch out guys, he's got royalty inside his dna.",2019-11-08T21:13:09.000Z,1
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,2019 ❓,2019-11-05T19:49:38.000Z,2
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,1:48💪👌,2019-11-03T12:45:12.000Z,1
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,They should’ve used Mask off,2019-10-31T22:32:52.000Z,0
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,Alguém sabe o nome da musica?🇧🇷,2019-10-28T15:38:08.000Z,0
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,The trailer is always better than movie,2019-10-27T10:00:08.000Z,0
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,. . . and that ladies and gentleman is how you make a f-cking trailer!,2019-10-07T02:09:30.000Z,2
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,What a great movie,2019-09-30T11:49:39.000Z,1
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,"too much CGI on move, felt like a boxing console game",2019-09-21T04:36:29.000Z,0
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,"I remember going to the Movies to see ""Glass"", and this trailer was the best part of that movie xD",2019-09-19T23:45:47.000Z,0
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,Nothing beats the original Rocky. But Sylvester has made a fortune off those series of movies. Talk about milking it for  everything worth.,2019-09-19T01:18:36.000Z,0
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,THIS TRAILER MADE ME WANT TO SEE THE FILM !!!!,2019-09-17T18:10:06.000Z,0
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,"Adonis creed: I ain't got a choice
Rocky balboa: that's the same thing your father said and he died right here in my hands",2019-09-05T23:07:43.000Z,1
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,1:27 Powerful expression acting!,2019-08-09T05:47:31.000Z,0
2018-06-20T12:45:12.000Z,cPNVNqn4T9I,CREED II | Official Trailer | MGM,"This is L from looking at this video trailer of Creed 1 & 2 and Balboa to tell the truth I haven't even seen all 3 these movies yet and I wish that Balboa, Creed 1 & 2 are on Netflix or even Hulu would do So me and my Dad would watch them and the reason I'm into Boxing it's all because my Dad was a Boxer once and not to mention he beat this Bill Cosby talking Boxer that goes by the ring name Golden Glove with a Upper Cut to the head ouch and so I respect Boxing all my life and to other history boxers.!? (>v<) (^v^) :-) ♤♡♧◇😎🙈🙉🙊🕵️‍♂️🕵️‍♀️👌👍💖🥊🤼‍♂️🎓⛑📿",2019-08-09T02:20:23.000Z,1
