publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-09-28T13:47:35.000Z,FEKYSXArjEo,Fantastic Beasts and Where to Find Them Official Trailer #1 (2016) J.K. Rowling Fantasy Movie HD,2:23 feel it! feel the HP theme in your heart!,2019-10-18T17:07:52.000Z,0
2016-09-28T13:47:35.000Z,FEKYSXArjEo,Fantastic Beasts and Where to Find Them Official Trailer #1 (2016) J.K. Rowling Fantasy Movie HD,YAS HUFFLEPUFF WOOOO,2019-08-12T05:01:24.000Z,0
2016-09-28T13:47:35.000Z,FEKYSXArjEo,Fantastic Beasts and Where to Find Them Official Trailer #1 (2016) J.K. Rowling Fantasy Movie HD,I just realized this trailer spoils who the villain is.,2019-08-06T15:22:49.000Z,0
2016-09-28T13:47:35.000Z,FEKYSXArjEo,Fantastic Beasts and Where to Find Them Official Trailer #1 (2016) J.K. Rowling Fantasy Movie HD,Amazing movie,2019-07-15T00:47:07.000Z,0
2016-09-28T13:47:35.000Z,FEKYSXArjEo,Fantastic Beasts and Where to Find Them Official Trailer #1 (2016) J.K. Rowling Fantasy Movie HD,"Not related to Harry Potter at all, besides the ideas the movie took from Harry Potter, sooooooooo it needs to leave the harry potter section.",2019-07-10T14:58:07.000Z,0
2016-09-28T13:47:35.000Z,FEKYSXArjEo,Fantastic Beasts and Where to Find Them Official Trailer #1 (2016) J.K. Rowling Fantasy Movie HD,"Something was missed respect to Harry Potter since no emotional content, just an action movie with poor dialogues specific to the action in progress that for moments felt like a fantasy comedy, which keeps you all the time out of the movie, too conscious and aware that you're watching unreal scenes while Harry Potter, as other good movies, despite the fantasy had the power of make you feel them real.",2019-06-05T09:38:20.000Z,0
2016-09-28T13:47:35.000Z,FEKYSXArjEo,Fantastic Beasts and Where to Find Them Official Trailer #1 (2016) J.K. Rowling Fantasy Movie HD,"Now I understand what's happening here after I watched all HP movies on Netflix. Geez, late HP fan here.",2019-04-29T11:01:44.000Z,0
2016-09-28T13:47:35.000Z,FEKYSXArjEo,Fantastic Beasts and Where to Find Them Official Trailer #1 (2016) J.K. Rowling Fantasy Movie HD,So does this happen before or after Harry Potter?,2019-04-08T16:21:27.000Z,0
2016-09-28T13:47:35.000Z,FEKYSXArjEo,Fantastic Beasts and Where to Find Them Official Trailer #1 (2016) J.K. Rowling Fantasy Movie HD,FB and HP,2019-03-27T07:31:47.000Z,0
2016-09-28T13:47:35.000Z,FEKYSXArjEo,Fantastic Beasts and Where to Find Them Official Trailer #1 (2016) J.K. Rowling Fantasy Movie HD,To be honest saying muggle rolls off the tounge,2019-01-02T17:12:34.000Z,0
2016-09-28T13:47:35.000Z,FEKYSXArjEo,Fantastic Beasts and Where to Find Them Official Trailer #1 (2016) J.K. Rowling Fantasy Movie HD,So wizards can repair an entire city but cannot repair a stupid suitcase switch ????,2018-12-22T04:51:28.000Z,0
2016-09-28T13:47:35.000Z,FEKYSXArjEo,Fantastic Beasts and Where to Find Them Official Trailer #1 (2016) J.K. Rowling Fantasy Movie HD,Eddie Redmanye should have gotten an Oscar nomination for his role as Newt !,2018-11-25T20:12:04.000Z,1
