publish_time,Video ID,Title,Comment,updatedAt,likeCount
2013-08-07T16:31:58.000Z,dJTU48_yghs,"Her Official Trailer #1 (2013) - Joaquin Phoenix, Scarlett Johansson Movie HD",so was this before he met jenna or,2019-11-20T02:36:36.000Z,1
2013-08-07T16:31:58.000Z,dJTU48_yghs,"Her Official Trailer #1 (2013) - Joaquin Phoenix, Scarlett Johansson Movie HD",0:25 I killed her in hospital.,2019-11-17T06:44:58.000Z,1
2013-08-07T16:31:58.000Z,dJTU48_yghs,"Her Official Trailer #1 (2013) - Joaquin Phoenix, Scarlett Johansson Movie HD","AMADEUS!!
EL PSY CONGOROOO...",2019-11-12T14:16:22.000Z,1
2013-08-07T16:31:58.000Z,dJTU48_yghs,"Her Official Trailer #1 (2013) - Joaquin Phoenix, Scarlett Johansson Movie HD",1:51 Bathroom Dance,2019-11-11T12:14:34.000Z,1
2013-08-07T16:31:58.000Z,dJTU48_yghs,"Her Official Trailer #1 (2013) - Joaquin Phoenix, Scarlett Johansson Movie HD","""What's your relationship with your mother?"".
Theodore: uh...



Arthur: My mother always told me to smile and put on a happy face.",2019-11-08T12:22:04.000Z,37
2013-08-07T16:31:58.000Z,dJTU48_yghs,"Her Official Trailer #1 (2013) - Joaquin Phoenix, Scarlett Johansson Movie HD",Waifus are real now,2019-11-08T10:14:21.000Z,0
2013-08-07T16:31:58.000Z,dJTU48_yghs,"Her Official Trailer #1 (2013) - Joaquin Phoenix, Scarlett Johansson Movie HD","Lost in Translation 
Eternal Sunshine of the Spotless Mind 
Her 


The Love Trilogy ♥️♥️♥️",2019-11-01T23:42:29.000Z,4
2013-08-07T16:31:58.000Z,dJTU48_yghs,"Her Official Trailer #1 (2013) - Joaquin Phoenix, Scarlett Johansson Movie HD","this is like that episode of ""The Boondocks"" where granddad fell in love with Siri through his iPhone",2019-11-01T16:02:54.000Z,2
2013-08-07T16:31:58.000Z,dJTU48_yghs,"Her Official Trailer #1 (2013) - Joaquin Phoenix, Scarlett Johansson Movie HD",🤳🏼💞💞💞💞💞 Everyone's been in love with Joker but here I am craving to watch Her. Joker was a bomb tho. I think both movies are great.,2019-10-30T03:49:38.000Z,0
2013-08-07T16:31:58.000Z,dJTU48_yghs,"Her Official Trailer #1 (2013) - Joaquin Phoenix, Scarlett Johansson Movie HD",0:49 joker scene,2019-10-29T17:06:03.000Z,2
