publish_time,Video ID,Title,Comment,updatedAt,likeCount
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"This movie needs a sequel !
Seriously i don't think bigfoot revealed themselfz and nothing happened in the world?
They will get extinct sooner or later all cuz of 1 bad decision revealing themselvz to the world thinking they will be kind to them 
  ""Don't learn frm yr history nd ull repeat it""
    (That is exactly what will happen now)",2019-11-14T12:40:51.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"Text Book: Every footballer knows that boots will get damaged after few seasons. Either this guy has never played football in his life or he still keeps his soccer boots. As for me, I always keep my small jerseys",2019-11-06T04:06:05.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],I’ve watched the movie but the chinnese luanguage,2019-11-05T04:04:08.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],it actually is a good movie,2019-11-01T09:24:14.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],el mejor trailer del mundo,2019-10-20T22:45:50.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Who’s here after it came out,2019-10-10T23:09:53.000Z,1
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],abominable,2019-09-26T23:50:33.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"I actually enjoyed this movie. I thought it was nice, it had likable characters (except for Fleem), and I loved the music.",2019-09-22T05:18:17.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],I Should See This,2019-09-08T23:23:02.000Z,1
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"Inside Up 
Outside Down",2019-09-05T02:04:47.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],1:10 wow he is STRONG,2019-08-20T19:50:11.000Z,1
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Zendaya is meecheeeeee,2019-08-19T14:00:39.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],The speaking voice of Zendaya is so angelic 😍😘,2019-08-10T15:03:54.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Am I the only one that wasn't introduced to this movie by the song. I've never even heard of the guy. Great movie tho :3,2019-08-03T21:36:20.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],NIALL HORAN 💛,2019-07-30T21:59:00.000Z,1
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],SES....😂😂😂,2019-07-29T12:20:27.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],I loved the movie it's awsome and so funny,2019-07-22T16:29:08.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Niall Horan brought me here,2019-07-19T05:36:10.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Why do I just found this?,2019-07-17T22:38:51.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],This movie deserves a part 2,2019-06-26T04:13:12.000Z,4
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],GARRY IS MORTY,2019-06-23T09:02:05.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],As an atheist I enjoyed this movie very much.,2019-06-18T02:44:30.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],It's not even 9 months and everyone forgot this was a thing.,2019-06-16T19:38:30.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],This is definitely worth watching. Easily a favorite. ❤️,2019-06-09T14:56:22.000Z,3
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"This is all The ice age.,",2019-05-13T19:04:08.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Go to my YouTube channel to get movie link full movie,2019-05-11T13:42:42.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],I love this movie!,2019-04-28T19:56:31.000Z,3
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"Fleem: ""Migo! If you die, Can I have all your worldly possessions?""

 All: ""Fleem!""

 Fleem: ""Right! Sorry! When you die!""",2019-04-22T23:03:21.000Z,2
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"I gotta be honest, I thought this movie would be terrible. But when I gave it a chance, it actually turned out to be a good movie. I like it.",2019-04-21T19:46:52.000Z,3
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"I'm so proud of Our sweet Irish potato lad Nialler.. Yep, That's what I call him.",2019-04-16T12:38:18.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Archie ogden,2019-04-14T07:50:31.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Nialler❤️❤️❤️,2019-03-30T10:27:00.000Z,1
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],NIALL HORAN'S VOICE SINING FINALLY FREE!!!,2019-03-27T04:12:29.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"0:57
gets me everytime XD",2019-03-21T18:12:30.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Niall Horan is great xD 🎸,2019-03-02T17:56:21.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],I watch the movie It's really awesome 😘😘😍😍🖤,2019-02-25T15:28:43.000Z,1
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],im late,2019-02-21T09:49:41.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],On a cruise rn and their playing this tonight,2019-02-17T21:00:06.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Snow wookies? What about the droid attack on the wookies,2019-02-17T10:33:12.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"I have a baby yeti in my room, it has a tail, and has weird ears, and also has some whiskers",2019-02-15T14:00:36.000Z,1
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],The movie makes yetis seem normal-sized,2019-02-15T13:59:54.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Finally Free - Niall Horan omgg,2019-02-15T12:50:41.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Yeti has a hair? 😂 this is hilarious!,2019-02-13T15:14:15.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Niall horan sent me here 😂😂,2019-02-13T12:43:05.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],I watched this movie.It's so funny..😊👍,2019-02-06T05:55:06.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],its like they are admitting that bigfoot are real,2019-02-04T04:41:49.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Who has seen it? I have,2019-02-03T11:51:07.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],I’m gonna watch this tonight! 👍👍👍,2019-02-03T00:28:54.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],zendaya is meechee,2019-02-01T01:19:07.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Just watched the movie and damn that song fits so much,2019-01-26T19:16:34.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"Just watched the movie and it's really cute 😂😭❤️❤️
Love Niall ❤️",2019-01-26T19:05:19.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"This movie is much greater than I thought it would be, the songs are good and the story good😀",2019-01-25T23:05:25.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],DOWN OF COURES HE SAID IT FELL FROM THE SKY,2019-01-23T05:55:04.000Z,1
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"To be honest , I'm here for Niall 😂",2019-01-20T01:50:31.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],MC_drakefire8,2019-01-19T11:20:56.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"How is everyone missing the actual message of this movie which is about abandoning superstitions, myths but rather entertain questions, curiosity, and knowledge?",2019-01-19T06:40:23.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"FINALLY FREE!!!
NIALL BABY",2019-01-16T07:04:53.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Is this in the same universe with hotel transylvenia,2019-01-15T15:16:59.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],1:26,2019-01-13T21:31:04.000Z,1
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],I hate James cordon,2019-01-13T17:58:22.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],From The Studio That Brought You The LEGO Movie / The Lego Batman Movie / The Lego Ninjago Movie And Storks,2019-01-13T17:53:02.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],1:26 Name Is Migo,2019-01-13T17:54:24.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],this movie is deeper than it looks,2019-01-12T23:10:15.000Z,1
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"but movie was sooooo good ,  what after the yeti and small foot communicates ....... seriously this movie deserves a second part",2019-01-12T12:37:23.000Z,1
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"did he say ""Gary calm down, you know you're gay?"" xD",2019-01-12T12:28:01.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Percy and Brenda equal Prince Harry and Meghan Markle :D,2019-01-12T01:56:03.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],When u die can I have your worldly possessions.,2019-01-11T09:59:11.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Do only kids watch this or do adults too?,2019-01-11T07:21:20.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"Anybody remember ""The scroll of invisible visdom""? Hahaaaa...",2019-01-06T05:59:30.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],the trailer ruins the movie. don’t watch it!,2019-01-06T03:18:59.000Z,1
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Niall's song at 1:11... You're welcome😂❤,2019-01-04T19:45:45.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Who else is just seeing this movie because Nialler's song is in it?? I know I am!!😂❤,2019-01-04T19:44:07.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],What a waste of time. they could've made a funny & entertaining movie but no they had to drag religion into it!,2019-01-04T12:25:32.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Proud of you Niall ❤,2019-01-03T15:59:28.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],My foot fetish sent me here.,2019-01-03T12:32:12.000Z,1
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"This movie is amazing 👍




INTEGRITY and HONESTY shall prevail at all times.",2019-01-03T08:22:49.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"WELL DONE, NIAL!!",2019-01-02T20:41:44.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],I’m here for Niall!!,2019-01-02T20:41:25.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],http://tenies.club/movies/smallfoot/,2019-01-01T10:39:23.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Myself brought me here. I love myself.,2018-12-31T16:49:54.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],2:18,2018-12-29T16:57:18.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],2:22,2018-12-29T16:56:35.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],The beautiful voice of my boy.,2018-12-29T02:04:06.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],"lEBRON JAMES in the movie ?


After , he did sprite cranberry ad.

It was funny.",2018-12-28T15:13:05.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],This actually proves a myth could turn to reality and be what you thought wrong about yetis,2018-12-28T00:34:10.000Z,0
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],Niall made me watch the movie and it's amazing!!,2018-12-27T15:07:02.000Z,0
