publish_time,Video ID,Title,Comment,updatedAt,likeCount
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],Is this the first part of the movie?,2019-11-20T10:54:27.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],"Is it just me, or does the soundtrack sound almost identical to the one in the trailer for Harry Potter and the Deathly Hallows: Part 2?",2019-10-25T05:12:12.000Z,2
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],1:12 - 1:14,2019-10-24T09:36:38.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],"This movie is way too underrated!
I just love it!",2019-10-19T19:05:39.000Z,2
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],I JUST LOVED THIS TRILOGY SO MUCH. HAVEN'T WATCHED LOTR YET!,2019-10-19T03:51:06.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],"Wish Peter Jackson would direct a Solo Movie or something telling Sam Wise Gamgee's ending. I remember in the end of LOTR: Return if the King, Frodo told Sam the last pages are for him and that the story isn't over.",2019-10-13T05:34:07.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],One of the best trilogy's ever made,2019-09-24T21:42:08.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],Is this before lotr or after,2019-09-24T19:02:26.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],Today i got this Trailer as original 35mm :),2019-09-21T19:17:36.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],What a nature is in this movie EPICC,2019-09-20T08:57:42.000Z,1
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],Best trilogy ever (with LOTR),2019-09-20T08:56:55.000Z,1
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],"Definitely the best of the three Hobbit movies - I wish the others had been more like this.

Also, 2019, anybody?",2019-09-18T18:24:47.000Z,1
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],"Aahhh, I can’t wait for this to come out! I’m from  7 years in the future",2019-09-12T22:30:03.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],I love this movie so much. Middle-earth for ever!!!,2019-09-04T10:37:17.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],"I miss this world so much and though I do that so much, I don’t want any producer to ruin this world by making a tv show or movie based on it. Producers these days are so bad and movies are becoming worse every year",2019-08-28T18:32:34.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],this is oblivion+ skyrim,2019-08-22T05:48:36.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],Dildo Daggins,2019-08-16T05:28:00.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],Too bad it was fucking awful.,2019-08-08T14:04:38.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],My favourite film in the entire world.,2019-08-01T18:03:19.000Z,0
2012-09-19T14:59:08.000Z,SDnYMbYB-nU,The Hobbit: An Unexpected Journey - Official Trailer 2 [HD],7 years jesus,2019-07-10T15:03:33.000Z,1
