publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-07-23T23:56:55.000Z,h6DOpfJzmo0,The LEGO Batman Movie Official Comic-Con Trailer (2017) - Will Arnett Movie,"1. The Dark Knight
2. Batman Begins
3. Batman: Mask Of The Phantasm 
4. Batman 1989
5. The Dark Knight Rises 
6. The Lego Batman Movie
7. Batman v. Superman
8. Batman Returns
9. Justice League 
10. Batman 1960
11. Batman Forever 
12. Batman & Robin",2019-11-15T20:28:33.000Z,0
2016-07-23T23:56:55.000Z,h6DOpfJzmo0,The LEGO Batman Movie Official Comic-Con Trailer (2017) - Will Arnett Movie,The fact that Zöe Kravitz already played Catwoman!,2019-10-27T08:06:26.000Z,0
2016-07-23T23:56:55.000Z,h6DOpfJzmo0,The LEGO Batman Movie Official Comic-Con Trailer (2017) - Will Arnett Movie,This reminds me of forrestfire101 lmao,2019-10-14T20:53:53.000Z,0
2016-07-23T23:56:55.000Z,h6DOpfJzmo0,The LEGO Batman Movie Official Comic-Con Trailer (2017) - Will Arnett Movie,"Unpopular Opinion:
This movie was awful",2019-10-01T14:55:06.000Z,1
2016-07-23T23:56:55.000Z,h6DOpfJzmo0,The LEGO Batman Movie Official Comic-Con Trailer (2017) - Will Arnett Movie,Black and yellow baby,2019-09-29T03:46:20.000Z,0
2016-07-23T23:56:55.000Z,h6DOpfJzmo0,The LEGO Batman Movie Official Comic-Con Trailer (2017) - Will Arnett Movie,SUCH. A good movie,2019-09-07T02:23:57.000Z,0
2016-07-23T23:56:55.000Z,h6DOpfJzmo0,The LEGO Batman Movie Official Comic-Con Trailer (2017) - Will Arnett Movie,I love Michael Cera,2019-09-01T00:32:19.000Z,0
2016-07-23T23:56:55.000Z,h6DOpfJzmo0,The LEGO Batman Movie Official Comic-Con Trailer (2017) - Will Arnett Movie,Black and yellow,2019-08-11T17:47:06.000Z,0
2016-07-23T23:56:55.000Z,h6DOpfJzmo0,The LEGO Batman Movie Official Comic-Con Trailer (2017) - Will Arnett Movie,1:04 my favorite part,2019-07-28T22:05:15.000Z,0
2016-07-23T23:56:55.000Z,h6DOpfJzmo0,The LEGO Batman Movie Official Comic-Con Trailer (2017) - Will Arnett Movie,How many of you know alfred was voiced by voldemort,2019-07-13T18:52:27.000Z,0
