publish_time,Video ID,Title,Comment,updatedAt,likeCount
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],"Hey Everyone, I am doing a Lego Documentary and I would be so grateful if you could answer my questionnaire thank you :) 
https://forms.gle/BBofFUZS7vLNZ9BCA",2019-11-21T11:50:55.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],The movie is fun! The enemy is not from lego :-),2019-11-13T22:22:22.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],This seems good I wanna see it even though I’m late lol,2019-11-11T13:29:39.000Z,1
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],"God entered my body, and foced me to toy",2019-10-29T20:36:16.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],Yo this is such a great movie I really hope they make a 3rd LEGO movie😁,2019-10-28T12:01:19.000Z,2
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],"I thought this was the whole movie, like Warner Bros did that one day for the first movie
So much add revenue",2019-10-26T01:14:11.000Z,1
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],"Everything is awesome, everything is cool when you're part of a team
Everything is awesome, when you're living out a dream
Everything is better when we stick together
Some have said you and I are gonna win forever?
Lets party forever
We're the same unlike you, you're like me we're all working in harmony
Everything is awesome, everything is cool when you're part of a team
Everything is awesome, when you're living out a dream
Woo! Three, two, one, go!
Have you heard the news? Everyone's talkin'
Life is good 'cause everything awesome
Lost my job, there's a new opportunity
More free time for my awesome community
I feel more awesome than an awesome possum
Dip my body in chocolate frostin'
Three years later wash off the frostin'
Smellin' like a blossom, everything is awesome
Stepped in mud, got new brown shoes
It's awesome to win and it's awesome to lose
Everything is better when we stick together
Side by side, you and I gonna win forever?
Let's party forever
We're the same unlike you, you're like me we're all working in harmony
Everything is awesome, everything is cool when you're part of a team
Everything is awesome, when you're living out a dream
Blue skies, bouncy springs, we just named a few awesome things
A Nobel prize, a piece of string
You know what's awesome? Everything!
Dogs with fleas, allergies
A book of Greek antiquities
Brand new pants, a very old vest
Awesome items are the best
Trees, (frogs), clogs, they're awesome
Rocks, clocks, and socks, they're awesome
Figs, and jigs, and twigs, that's awesome
Everything you see or think or say is awesome
Everything is awesome, everything is cool when you're part of a team
Everything is awesome, when you're living out a dream",2019-10-19T17:49:03.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],"""once everything was awesome""",2019-10-17T07:09:06.000Z,1
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],I LOV3 THIS LOL,2019-10-10T20:52:30.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],Did I heard Intergalactic by Beastie Boys?,2019-10-10T04:51:29.000Z,1
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],Why is there an ad for this in October,2019-10-06T05:10:32.000Z,3
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],2:01 i see puppycorn,2019-09-20T04:29:11.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],They forget that rex is also a shoe shinner,2019-09-15T22:34:32.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],I want them to make a Star Wars LEGO movie like this,2019-09-15T21:51:09.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],Ahahhahahahahaha,2019-09-15T12:54:26.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],I see lego movie 2 not ninjago is lego movie 2,2019-09-13T15:07:34.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],"When it showed Rex, Intergalactic - Beastie Boys song played; then when it showed Emmet being all innocent with the dinosaur, the music changed to Sweet Sensation.",2019-09-07T08:13:51.000Z,4
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],i was so exited to go watch this then batman started flossing and the horrible reality that we will only have the first movie as the only good one ever made,2019-09-04T17:20:15.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],Why that tiny start at the beginning? 😭 why?,2019-08-29T10:58:00.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],I thought the raptors were bad because I got a LEGO set of the raptors and on the box it looked like the raptors were attacking,2019-08-27T13:44:26.000Z,1
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],Lucy,2019-08-23T21:37:15.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],Tiffany Haddish brought me here,2019-08-21T00:08:27.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],"Don't click read more 
1
2
3
Read more",2019-08-19T21:19:18.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],That Unknown Ending!,2019-08-19T04:22:07.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],Ekkora szart,2019-08-18T21:29:03.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],I need to watch this,2019-08-16T20:44:17.000Z,1
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],Wow,2019-08-15T09:09:49.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],"❤️❤️❤️
...................
The LEGO Movie 2 - Everything’s Not Awesome *(Talking Angela, Tom, Ginger, Larry, Pierre, Ben)*
https://www.youtube.com/watch?v=AzzP5AYNLeo *(CLICK)*",2019-08-10T20:42:53.000Z,2
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],"I hate when a movie trailer says they are the good guys and the another are the bad guy, but in movie they are reverse.
I really thought Rex really want to help Emmet to save his friends. Rex was my favorite character in the whole series.",2019-08-10T08:54:47.000Z,1
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],"Nothing the Undar of the Dryar system won't fix
The Sistar system.

They just add ar to everything 😆",2019-08-08T23:49:10.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],Es tubomuy  buena sobretodo lomegor fue lás canciónes,2019-08-01T21:44:13.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],What is the first song that plays during the tailer,2019-07-31T15:31:49.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],My second time see this best video ever,2019-07-28T19:49:25.000Z,1
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],Lego batman this warner bros pictures for toys,2019-07-28T04:41:06.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],Why does everyone think emmit didn’t do shit last movie. He saved everyone,2019-07-22T04:00:14.000Z,2
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],would middle school kid be too old to watch this?,2019-07-21T17:03:22.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],Can you please do the lego movie 3 please? :3,2019-07-18T18:57:11.000Z,1
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],I actually cried a little,2019-07-15T07:02:32.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],I like all the songs from this movie including that smart 'long' credit song in the credits. Love how they take a dig at all those catchy songs.,2019-07-12T19:12:59.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],0:40 I'm crying 😭😭,2019-07-11T03:11:27.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],i love how emmet is chris pratt,2019-07-09T16:15:23.000Z,0
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],0:06 surprise mother f*****ker,2019-07-09T14:35:53.000Z,1
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],"Chris Pratt two roles

🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯",2019-07-08T01:46:45.000Z,2
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],"This was a bunch of bullshit, no wonder it flopped bad the film just got on dvd after 17 minutes watching it i was already bored shitless",2019-06-30T13:04:24.000Z,1
2018-11-20T15:58:34.000Z,cksYkEzUa7k,The LEGO Movie 2: The Second Part – Official Trailer 2 [HD],im alone who hate end ?,2019-06-27T09:19:33.000Z,1
