publish_time,Video ID,Title,Comment,updatedAt,likeCount
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,"It is very popular in my house.
Everyone enjoyed this movie.
Love from India",2019-11-08T15:14:31.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,he was making lots of crazy face expressions in that 1 lmao,2019-10-23T17:51:26.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,cackles madly,2019-09-20T19:42:57.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,"Unfortunately , this movie is so underrated .",2019-09-14T02:08:21.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,i love the trailers with the voice guy,2019-08-31T11:26:05.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,"Unless you have seen this movie dont try and figure out the loopholes, especially the write it on paper method. Does Not work. Its no grammy winner but like the movie Stranger then Fiction in its own way the concept is intriguing to think about if the character was you.",2019-08-23T08:06:02.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,one of the rare movies that you can laugh and cry to,2019-08-20T17:18:13.000Z,2
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,"They made this movie look like a joke
Far from it",2019-08-18T05:54:59.000Z,1
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,Who here after the djvlad interview 💀😂,2019-08-11T19:09:28.000Z,1
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,this legendary movie is so underrated oh my god.,2019-07-05T05:43:46.000Z,6
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,I miss eddie murphy we need a huge comeback,2019-07-02T05:44:32.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,Rsrsrsrs. Esse filme é muito engraçado!!!,2019-04-12T04:16:10.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,"""ALL WE HAD TO DO, WAS UPDATE THE DAMN JOKES FROM BACK DURING FILMING IN THE LATE 2000S EM!*"" - Big Smoke, Grand Theft Auto: San Andreas (2004).


*""EM"" are the initials of Eddie Murphy.",2019-04-03T03:31:50.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,"This is a  Jim Carey"" Liar liar"" remake .   cute at first then got very bad and very G rated.  a couple curse words . bad acting , and boring real fast.",2019-03-14T07:48:25.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,to add to my prev. comment. what I took from this movie as Eddie was going thru. the healing process was when he finally started reading the 5page book he promised the guru he would publish for him. the thin booklet reminded me of the ones Salesian Mission put out. or Our Daily Word. at any rate something to do with Words from God. our creator and anything a creator creates He leaves an instruction book and that book has always been the Bible to me. so as Eddie is reading he begins smiling. receiving understanding. and feeding the spirit. I think most of us have had our spirit fasting too long. you can't feed the spirit regular food. to live it must have the only thing it was made to respond to. God's Word.,2019-02-22T13:28:59.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,When Eddie finally bowed in submission at the tree and prayed  not aloud but within his spirit there was a quietness. to me this was praying in the spirit as I've heard ministers preach about. I understand this because our mouth tongue is so vile why would God want to hear it. so it's the spirit within that He  hears. Then after that Eddie started showing love more by giving instead of saying it. Each time a leaf kept falling an he still felt he was going to die when the last leaf fell. I always figured he wasn't going to die because with each act of love he did it was renewing an love was there. love is healing. an he was feeling this within.  of course at the end the tree became fully bloomed of leaves brighter and more vibrant than before.  this seemed like to me the New Birth. Born again sermons I have heard so much of over the years  but was never received so vividly as this movie. This movie should be shown in churches so others who may not connect the meaning of praying in the spirit.& giving in love. whoever wrote this movie in ingenious.  it may just accomplish what some ministers have been trying to do for the longest.  It's a truly deep movie.,2019-02-21T22:06:00.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,Well Eddie. Another GREAT movie.  Love it. Love it. Love it. and love you too.,2019-02-21T06:27:01.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,Like if you still watching this in 2019🎈,2019-02-17T13:48:29.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,Anyone else notice the Apple logo at the bottom right corner of the screen?,2019-01-30T07:13:22.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,It's a simple movie,2019-01-14T05:10:51.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,I cracked up so hard! Salute you buddy! Best among the best!! Haha,2019-01-05T14:26:17.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,Song on his mobile??,2018-12-04T21:15:33.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,didn't expect the ending.,2018-11-26T07:05:31.000Z,0
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,"""I FORGIVE YOU""",2018-09-23T08:05:45.000Z,4
2011-11-30T00:36:48.000Z,N6AxRCP3e4s,A Thousand Words Official Trailer #1 - Eddie Murphy Movie (2012) HD,1000 deaths of Eddie Murphy,2018-08-18T00:43:06.000Z,1
