publish_time,Video ID,Title,Comment,updatedAt,likeCount
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,Action park is never ok,2019-11-10T10:19:57.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,How to make a place that has the frickin' purge in it:,2019-11-01T13:19:56.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,I wish this place still existed. I'd totally sign a waiver to experience it.,2019-10-25T23:44:15.000Z,1
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,Just watched this movie and its great. I grew up watching jackass and  ill watch anything with Johnny Knoxville,2019-10-18T22:26:17.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,"Knoxville had way more successful ""ups"" than just one small box office ""down"" of Action Point. Glass is 99% full, bub. ☕",2019-10-06T23:42:41.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,This is just like the real action park,2019-10-01T19:59:03.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,When people want jackass 4 but the crew was too old,2019-09-29T16:55:42.000Z,1
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,So....a Merchant Ivory film?,2019-09-28T09:17:40.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,"1 billion ways to die choose one....

Johnny and stevo are the best always escape death",2019-09-24T22:13:23.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,"Shit, I forgot about this movie. Will remedy the situation posthaste!",2019-09-24T02:34:24.000Z,1
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,"Did this ever come out or get released???????
I mean NO ONE talks about this, I have never heard a thing about this movie.",2019-09-23T19:41:02.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,Hi im Johnny Knoxville and im Chris Pontius and this is ACTION PARK,2019-09-21T17:58:25.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,"Aaaand?, the movie?, is the fucking 18/09/2019",2019-09-19T02:56:17.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,I thought this was actually a good movie despite the bad reviews,2019-09-18T12:22:16.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,"Wait, they made a movie about Action Park in New Jersey?!whoaaa",2019-09-14T20:05:49.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,"Great movie, better than i expected. Gotta love Johnny Knoxville!",2019-09-13T01:05:03.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,At least no need to hire extra stuntmans,2019-09-11T13:31:52.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,"Lol, The moment I saw this trailer in my recommended, my dad was watching the movie",2019-09-09T15:23:09.000Z,1
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,i went to action park..tripped lots of lsd in 86,2019-08-31T18:18:26.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,action park in a nutshell,2019-08-31T11:43:49.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,"I loved the movie! Just constant laughs throughout the entire film! the only thing I realize now is that I'm really happy I didn't watch the trailer before I saw it, it just reveals wayy too much of what you're about to see.",2019-08-22T16:26:40.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,"There’s nothing in the world like…

ACTION POINT!",2019-08-22T02:30:31.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,"Johnny great guy stayed clean, helped his buddies out. Great heart",2019-08-19T20:16:43.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,"Johnny and Chris are back!
The two people from Jackass!",2019-08-18T22:21:03.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,"This trailer was basically false advertising, and that’s probably the biggest reason why this movie flopped. The movie is not about stunts like this trailer makes it out to be - I swear every funny stunt in the actual film was shown in this trailer.

The movie is actually more about the struggling fate of the park itself, and how D.C (played by Knoxville) copes with this while also trying to rebuild his relationship with his daughter. The movie has some surprisingly good and heartfelt moments that I did not expect to see at all. I feel like underneath the silly facade of it all lies a missed opportunity. Johnny Knoxville is actually a pretty good actor and you can definitely see it in every scene where the filmmakers aren’t trying to joke around.

That main actress Eleanor Worthington Cox is going to blow up in a few years, I’m sure. Together with Knoxville she brought some well-needed drama to this film.",2019-08-18T21:37:52.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,Yes!👍👍👍👍👍👍👍👍❤️❤️❤️❤️❤️❤️❤️,2019-08-15T07:10:42.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,How come i didnt see this in theatres,2019-08-14T00:58:43.000Z,0
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,Huh?  This is crap,2019-08-13T03:34:23.000Z,0
