publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,BRUH EVERYTIME I WATCH THIS MOVIE I END UP BAWLING ON THE FLOOR BECAUSE OF THE ENDING,2019-10-28T02:38:25.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,Can't just have great movie with happy end...!,2019-10-25T20:31:41.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,"فيلم رائع جدا. 
من أروع أدوار براد بيث  Brad Pitt 😍👍",2019-10-25T19:16:43.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,Something told me to go to this movie and that I was going to love it 😍,2019-10-23T18:25:30.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,I love Brad Pitt,2019-10-23T18:24:13.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,one of the best performance of brad pitt!,2019-10-19T20:13:11.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,"Marion Cotillard es simplemente perfecta, que estiló, y que elegancia, pero es desconcertante el final 😢",2019-10-18T03:09:41.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,"Years later brad pit still carries his revolver and joined the US armored division.""FURY""",2019-10-06T11:20:28.000Z,1
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,This movie was so badass with an interesting concept like I never seen before in Hollywood motion picture history on rotten tomatoes it was scored low but they are tripping big time .,2019-10-02T08:16:18.000Z,1
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,Bradd Pitt at 53 still look 30,2019-09-19T19:07:08.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,Such a great movie and will certainly make you cry.,2019-09-13T01:02:33.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,🌟🌟🌟🌟🌟,2019-08-27T13:04:37.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,One of the finest movie ever made!!!,2019-08-23T14:28:16.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,Atleast she remain true of her love for her husbans until the very end even though they were both spies..classic!,2019-08-13T07:49:55.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,This was a great movie,2019-08-11T19:55:40.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,"Legend,legend,legend",2019-08-09T15:24:54.000Z,1
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,It’s a great movie I came back for watching the trailer after 2 years lol,2019-08-03T16:05:08.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,This trailer was better than the whole movie.,2019-07-29T16:07:57.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,Before inception,2019-07-18T20:05:38.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,I love the twists of this movie,2019-07-17T07:33:51.000Z,1
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,My friend cried after watching this movie. I didn’t cry but it breaks my heart.,2019-07-17T07:31:18.000Z,1
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,2019??,2019-07-10T06:57:43.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,My wife is a spy. I need to execute her.,2019-07-09T09:53:03.000Z,0
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,Marion is such a great actress who else cried at the end it's heart  touching,2019-07-05T13:58:10.000Z,1
