publish_time,Video ID,Title,Comment,updatedAt,likeCount
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,"Great movie, there is hope for mature age  people to find someone AND LOVE I'LL WAIT🤔🤔🤔",2019-11-13T11:20:04.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,2:21 DID ANYONE NOTICE HE HAS AN ERECTION,2019-10-21T14:24:01.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,I wonder how many of these 3 Million plus views are from people who came here after watching the Folding Ideas video.,2019-10-15T14:38:10.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Fun movie. But as a 60 year old woman I can tell you that Candice Bergen's online dating experience is nothing like reality....,2019-09-20T18:06:47.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Im 56yrs old and haven't  found  the love of my life yet.,2019-09-08T01:15:14.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,"This movie was disappointing.  Too much overacting, especially from Diane Keaton's daughters. The blue screen in every scene (you really couldn't  afford to build sets that looked like a kitchen/livung room or film in front of an actual home?) Was distracring. The makeup artist should have been fired; all of the female leads looked about 15-20  years older than they do in ""real life"" (don't get me started on Jane Fonda's hair color).",2019-08-17T19:10:41.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,"Is it like ""as good as it gets"" X 4?",2019-08-11T19:04:06.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,ROXYY!!!! Remember her? THAT bodyguard???,2019-08-02T08:59:38.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,2:16 - 2:32 has to be one of the most awkward situations ever! 😂😂,2019-07-13T22:17:15.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Police officer’s face at 2:24 is hilarious! 😂😂,2019-07-13T22:15:30.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Jane Fonda is sooo pretty,2019-07-04T06:10:24.000Z,1
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,"Well, well. I was going to watch this...but it's kinda offputting. For like a older person..I think I won't watch it. I'm young and this probably isn't aimed for my age to put it nicely. Also. 50 shades just sucks.",2019-07-03T01:42:42.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Character for character Sex In The City 2.0,2019-06-14T08:25:45.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,I wish trailers wouldn’t give away the whole movie,2019-06-11T00:11:31.000Z,1
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Hanoi Jane = no see,2019-05-23T01:38:07.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Andy oh Andyyyyyyyy... You're so beautiful 🌹😍🌹,2019-05-17T17:24:46.000Z,2
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,"The oldest principal cast is Jane Fonda, born in 1937 and the youngest one is Andy Garcia, born in 1956. That's almost two decades of age difference. But they all look about the same age in this movie.",2019-05-17T17:11:05.000Z,2
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Music 1:43 https://youtu.be/z5EOJENpH2k,2019-05-07T21:48:15.000Z,1
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,"Great Cast,but from a guys thinking.Chick flix,which is Ok.We men i am sure have ours.😎",2019-05-05T22:53:51.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Great movie,2019-05-02T16:32:43.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Loved this movie!!,2019-04-28T01:52:08.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Anything with DIANE KEATON in it is worth its weight in Gold!!!!!!,2019-04-25T20:35:49.000Z,1
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,I watched the movie yesterday on a plane. This is a good movie!  I love the cast!,2019-04-25T14:08:42.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,This is a good movie!,2019-04-24T07:28:12.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,I'll never forget that last scene.  Haven't cracked up that much for a while.,2019-04-19T04:35:54.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,1:43 music plz?,2019-04-16T18:25:39.000Z,1
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,all those great actresses and the movie sucked. Sorry.,2019-03-17T18:50:49.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,50 shades milf,2019-03-03T05:52:07.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Kay Adams and Vincent Mancini together??? That is wrong on so many levels ... Michael Corleone would have gotten them both killed ;),2019-02-13T21:36:22.000Z,1
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,God didn't want this,2019-02-03T05:48:00.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,GILFs,2019-02-02T09:52:23.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Plastic really old women pretending to have sex with men who are 20 years their junior. Yep that’s Hollywood,2019-02-01T05:04:38.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,As an OAP who is divorced and loving life it is refreshing to watch a film with women that I can relate to - loved it!,2019-01-30T17:21:23.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Cute idea looks amusing,2019-01-17T20:02:33.000Z,0
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,Purchase Online Watch The Video:- https://youtu.be/fgqPRWhcyOw,2019-01-15T04:00:34.000Z,0
