publish_time,Video ID,Title,Comment,updatedAt,likeCount
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",Denzel does ever 🎥 Movie  with Paramount Studios 🔥,2019-11-13T09:37:12.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",Movie soundtrack was great👍🏽,2019-11-08T22:04:23.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD","One of the best movies I've seen. Denzel is a great actor, so many awesome movies he have made great just by him being in them. Salute to D.W.🏆",2019-11-08T22:02:08.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",I just watched Equalizer 1 and 2! Next this movie! Denzel Washington movies really rock! One of the GREATEST ACTOR OF ALL TIME!,2019-10-16T01:39:23.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",Who knows Ronald Dacey ??? Huh...,2019-10-10T11:45:45.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",Great movie.. washigton .. you are the best. in 2019 first  time to watch.,2019-10-04T02:53:01.000Z,2
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD","Denzel has to be temporary transferred to Bollywood to enhance his playing abilities in indian shitshow action movies. For example, he can be in remake of “Elephants are my f* friends” or “Seeta and Geeta”. Good luck, bud.",2019-09-16T02:55:18.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD","Very moderate and ridiculously long movie, the first scene was immoral, 

why should we see that.

SULLY - with TOM HANKS was the best!!!!!",2019-09-12T20:29:30.000Z,2
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",1:53,2019-09-02T16:10:54.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD","Whenever i see denzel Washington i just like😊😊
He is like amitabh bacchan of  Hollywood.
Denzel Washington ❤️❤️Love from India",2019-08-16T21:42:29.000Z,1
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",So the plane crash was avoidable?,2019-08-09T00:59:38.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",Not even Sully!!!,2019-08-01T18:19:27.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",This movie so good. Watching it rn.  Never get tired of it .,2019-07-28T16:37:18.000Z,1
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",Looks like a movie named Sully,2019-07-18T01:25:40.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",What happened to the co-pilot?,2019-07-14T13:15:46.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD","This film deserves milions of oscars, it is absolutely awesome and strongly it is one of the best films ever!",2019-07-10T09:37:29.000Z,3
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",The music is so anticlimatic....,2019-07-09T18:37:15.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",My favorite song in this trailer makes it even better,2019-07-09T18:17:05.000Z,1
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",2019 june 21 anyone ✌️,2019-06-21T08:27:16.000Z,1
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",Flight to arjun reddy to kabir singh,2019-06-21T02:17:10.000Z,2
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD","Probably I'm the first here relating the cocaine scene to Arjun reddy movie directed in Telugu, which is a super hit. By the way, this is an awesome movie. Loved it. One of my favorites of all time.",2019-06-18T17:18:45.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD","I know this is very late but my thoughts and prayers are with the captain, first officer and everyone else who was aboard MAS370 💜✈️❤️",2019-06-16T06:42:02.000Z,3
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",2019 anyone watching this,2019-05-14T15:37:22.000Z,39
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",Would have been a alright movie if it wasn't for the writers and director forcing religion down your throat. Make believe fairy tales belong in the stone age.,2019-04-16T06:55:19.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",I just watched this movie. Great ending.!!!! 💓💓💓💓💓💓,2019-04-14T05:43:44.000Z,3
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",Excellent Trailer matched with kick it rock and roll music! Good movie. Kudos to real pilots who are trained to save lives,2019-04-12T17:14:59.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD","Denzel Washington ur acting is very fantastic..... I love ur acting.... Great.. 
I'm big fan of you... 
I'm a south Indian guy...... Love you my hero",2019-04-06T07:46:32.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD","Maybe a maneuver like this could have saved people in recent 2 crashes of Boeing 737 MAX 8 ?? 
Wondering...",2019-03-19T13:34:13.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD","I wish this pilot flew that Ethiopian plane.. if I may ask, can this be done in real life...",2019-03-16T23:33:30.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",Denzel Never Fails LOL 💓,2019-02-19T07:16:20.000Z,1
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",I just watched the movie damn it has a deep meaning my homie,2019-02-13T00:26:44.000Z,3
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",This is sully...right?,2019-02-09T06:09:13.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",""" See you on the dark side of the moon ""

                     In 2019 Baby",2019-02-06T02:49:34.000Z,13
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",gotta love the maddog cockpit with boeing pfd,2019-02-02T18:47:09.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",One of the best movies I have watched... Many people don't get the msg of that movie,2019-01-15T18:35:33.000Z,55
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD","This movie not only saved my life but it put me on such a journey as I rewatch it , it is hard to believe that one film could change one persons life forever",2019-01-12T09:20:27.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",Salam,2019-01-01T17:44:46.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",Netflix,2018-12-23T07:59:04.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",I've got to say - I like this trailer more than I liked the movie,2018-12-20T17:17:48.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",alcohol is the mean actor in this movie,2018-12-13T14:21:03.000Z,0
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD","I just watched the movie and I cried a lot 😭😭 It was a great movie, worth the watch 😍😍",2018-11-25T15:04:39.000Z,25
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",My fav movie 💙,2018-11-03T21:12:41.000Z,4
2012-06-06T23:05:16.000Z,Aqn2L6kQQt8,"Flight TRAILER (2012) Denzel Washington, Robert Zemeckis Movie HD",you should watch Airplane 1980 movie.. the best airplane movie..😉😉,2018-10-30T13:59:18.000Z,1
