publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-06-22T13:14:08.000Z,aRwrdbcAh2s,"Jack Reacher: Never Go Back Official Trailer #1 (2016) - Tom Cruise, Cobie Smulders Movie HD","Sherif: You are under arrest
JR: *no u*",2019-11-12T13:47:38.000Z,0
2016-06-22T13:14:08.000Z,aRwrdbcAh2s,"Jack Reacher: Never Go Back Official Trailer #1 (2016) - Tom Cruise, Cobie Smulders Movie HD","Funny and ridiculous movie! Unrealistic scuffle and little directorial imagination! Bad movie! For fun and a laugh, a movie at one time!",2019-10-06T12:49:00.000Z,0
2016-06-22T13:14:08.000Z,aRwrdbcAh2s,"Jack Reacher: Never Go Back Official Trailer #1 (2016) - Tom Cruise, Cobie Smulders Movie HD",Before Robin became Maria Hill!,2019-10-03T10:47:09.000Z,0
2016-06-22T13:14:08.000Z,aRwrdbcAh2s,"Jack Reacher: Never Go Back Official Trailer #1 (2016) - Tom Cruise, Cobie Smulders Movie HD",Super movie,2019-09-28T21:29:28.000Z,0
2016-06-22T13:14:08.000Z,aRwrdbcAh2s,"Jack Reacher: Never Go Back Official Trailer #1 (2016) - Tom Cruise, Cobie Smulders Movie HD","I only watch for Cobie Smulders, I love her ❤️",2019-09-14T13:40:40.000Z,0
2016-06-22T13:14:08.000Z,aRwrdbcAh2s,"Jack Reacher: Never Go Back Official Trailer #1 (2016) - Tom Cruise, Cobie Smulders Movie HD",Tom Cruise made Jack Reacher to life.,2019-09-12T13:47:16.000Z,0
2016-06-22T13:14:08.000Z,aRwrdbcAh2s,"Jack Reacher: Never Go Back Official Trailer #1 (2016) - Tom Cruise, Cobie Smulders Movie HD",Time cruise. Daniel craig... Hit like you if you love them,2019-08-18T23:46:33.000Z,0
2016-06-22T13:14:08.000Z,aRwrdbcAh2s,"Jack Reacher: Never Go Back Official Trailer #1 (2016) - Tom Cruise, Cobie Smulders Movie HD",Would so bang that major chick.,2019-08-11T17:38:05.000Z,1
2016-06-22T13:14:08.000Z,aRwrdbcAh2s,"Jack Reacher: Never Go Back Official Trailer #1 (2016) - Tom Cruise, Cobie Smulders Movie HD",Ethan Hunt is best of the best,2019-08-11T01:30:32.000Z,0
2016-06-22T13:14:08.000Z,aRwrdbcAh2s,"Jack Reacher: Never Go Back Official Trailer #1 (2016) - Tom Cruise, Cobie Smulders Movie HD","Dolph lundgren fit reachers description in the books he is like 6 foot5 , and blonde like book reacher and knows various martial arts,  or seagal when he was young he is tall and knows aikido ,",2019-07-28T21:10:12.000Z,1
2016-06-22T13:14:08.000Z,aRwrdbcAh2s,"Jack Reacher: Never Go Back Official Trailer #1 (2016) - Tom Cruise, Cobie Smulders Movie HD",Jack reacher vs ethan hunt will be great...😅,2019-07-26T13:16:11.000Z,1
2016-06-22T13:14:08.000Z,aRwrdbcAh2s,"Jack Reacher: Never Go Back Official Trailer #1 (2016) - Tom Cruise, Cobie Smulders Movie HD",i MAKE THE LAW - ABOVE & BEYOND SIR,2019-07-21T13:54:34.000Z,1
