publish_time,Video ID,Title,Comment,updatedAt,likeCount
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,"Kungfu Staring Contest, Go! (10 Minutes)",2019-04-09T11:43:42.000Z,3
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,2011 (17 years),2019-04-09T06:52:05.000Z,1
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,202nd Decade | Official Teaser Trailer,2019-04-07T03:30:49.000Z,0
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,2019 march 26. 10:35 pm lol,2019-03-26T17:05:36.000Z,0
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,Everyone burst out laughing in the movie theater when we saw this for the first time,2019-02-05T03:30:17.000Z,0
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,0:34 Kung fu staring contest! GO!,2019-01-05T00:17:24.000Z,0
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,Prepare for the return of awesomeness. LOLZ,2019-01-05T00:15:32.000Z,0
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,0:36,2018-08-28T10:14:40.000Z,1
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,0:16,2018-08-28T10:13:45.000Z,2
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,What is the narrator of this teaser trailer?,2017-06-10T18:47:04.000Z,0
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,this is the best trailer of kungfu panda,2017-02-28T15:03:46.000Z,6
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,"You guys look amazing, by the way.",2017-01-28T21:21:11.000Z,6
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,Kung Fu starring contest... go!,2017-01-28T21:20:45.000Z,1
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,My fist hungers for justice. Those my fist.,2017-01-28T21:20:06.000Z,0
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,no it was not your fist on your paw it was your belly.,2017-01-20T02:38:26.000Z,2
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,Trying not to blank,2016-12-07T22:50:45.000Z,2
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,you meet to monsters vs aliens and madagascar 2,2016-05-04T20:51:10.000Z,4
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,I came here from Kung Fu panda 3,2015-06-29T05:48:22.000Z,14
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,"I won the staring contest in my first try !!!!,!,",2014-10-27T23:20:14.000Z,28
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,Dofl lmfao the panda in soooooo fat,2014-10-27T23:17:45.000Z,0
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,I was trying not to laugh when Po was staring at the audience. XD,2013-10-06T02:24:31.000Z,18
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,51 people lost the staring contest,2013-04-28T21:49:16.000Z,1
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,you can see the audience in his pupils x),2012-07-23T17:25:48.000Z,10
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,I was so close to winnig the contest. Redo XD,2012-04-27T16:50:40.000Z,2
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,Pandaren Brewmaster !!! ... =),2012-03-21T02:03:39.000Z,0
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,i like master shifu ,2012-03-10T01:01:08.000Z,3
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,"it's amazing because as an American movie,it really move us Chinese by the traditional Chinese views.",2012-02-26T04:58:40.000Z,1
2010-11-08T17:35:34.000Z,TIA6KNfpRqs,Kung Fu Panda 2 | Official Teaser Trailer,i won bbbbbbbbbbbbbbbbbbbbbbbbiiiiiiiiiiiiiiittttttttttttttcccccccccccchhhhhhhhh! >:D,2012-02-15T01:08:33.000Z,1
