publish_time,Video ID,Title,Comment,updatedAt,likeCount
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD","this movie was amazing- free on amazon prime- loved the surprise actors, Chris Rock, Michael Blackson and more lol",2019-11-11T01:26:37.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",Hi my name is Ellie Grace Evans and I am twenty three almost twenty four and my question is that I love your show and I am from East Sussex and I want to know is what does it feel to have a show have been named after you I am a craze fan and I grew up in Kingston suerry  upon Thames and I really want to sing like you  x,2019-11-06T10:39:06.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD","""what is this a care bear"" lol lol lol",2019-10-27T07:22:23.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",The movie good but the make up off,2019-08-31T20:59:14.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",Is she had a ras she would look like iron face the black one way is the make up I saw this movie but now I can give my opinion sorry just remember u rich an I poor so don't bother with me it's real,2019-08-31T20:58:27.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",Strange enough i havent seen this movie out on any movie sites an its been a whole yr🤔🤔🤔🤔,2019-08-26T23:41:14.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",The highlights better than the movie 😂 but Tyler perry is greatly improving,2019-08-12T18:33:28.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",Subtitulada o traducida al español latino???? Aunque sea el trailer,2019-07-26T14:09:53.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD","Tiffany :Where it say sex what u want me to put there?
DUDE: what u wanna put there?
Tiffany : Plenty 😜



Nah, dudes this ain't ryt, nobody is aloud to laugh this much, lmfao",2019-07-21T12:10:20.000Z,1
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",hope this is as good as the trailer makes it look!,2019-06-21T02:47:59.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",Lmao omg!,2019-06-16T20:06:22.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",A good movie is just that. I enjoy all actors as long as they are good and the story is good.,2019-06-10T01:52:14.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",Tiffany 💖💖💖,2019-06-08T18:32:11.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",MERCEDES GLEE CLUB???,2019-06-06T01:57:16.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",MONIVA,2019-05-27T23:17:35.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",0:33 me after I’m done with finals,2019-05-13T21:19:58.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD","Guys Tiffany does act and feature as a serious character. There is a movie where she is a motivational teacher for school drop outs and Kevin Hart was one of her students. Stop being negative, so what if she plays the crazy character childish act. It proves sh so good that they always place her in that role🙄🙄🙄",2019-05-07T10:18:15.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD","I hope Tiffany starts turning down some of these roles that all have her being the same character.  She's very talented, but just looking at the box office failure of this movie, people can only take the same act for so long.  She capable of a lot more, and I hope someone gives her that chance to do something a little different.",2019-04-22T13:25:18.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",If Whoopi plays in it I won't waste my time.,2019-03-25T14:20:51.000Z,0
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",Carcasions,2019-03-16T23:25:14.000Z,0
