publish_time,Video ID,Title,Comment,updatedAt,likeCount
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,I CAME HERE TO REMIND YOU TO MAKE THE RISE OF THE GUARDIANS 2 THANK YOU,2019-08-28T07:40:04.000Z,3
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,WHERE IS JACK FROST?!,2019-08-13T17:00:32.000Z,2
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,Y'all girls lying if u say u didnt have the biggest crush on Jack.,2019-07-25T11:04:31.000Z,8
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,Wheres jack!?,2019-07-03T06:20:32.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,We want rise of the guardians 2 pleaseeeeee,2019-06-16T10:36:33.000Z,3
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,jack who,2019-06-12T01:20:42.000Z,2
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,my favourite animated movies rise of the guardians and wreck it  ralph,2019-04-30T13:27:27.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,WE NEED A SEQUEL,2019-04-30T01:55:27.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,It’s been 6 years Dreamworks... WHERE IS OUR SEQUEL?!?!,2019-04-22T20:15:34.000Z,132
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,2012 (18 years),2019-04-09T06:58:05.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,it's 2019 and rotg is still my favourite movie it means so much to me and i know a lot of fans feel the same way 💖 we have a big enough fandom so dreamworks can you please stop underrating rotg? it deserves a sequel or a tv show.. we miss rotg so much 💔 even now im still hoping for new content..,2019-03-17T09:28:50.000Z,2
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,2019?,2019-03-11T04:36:45.000Z,2
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,"I was looking forward to seeing Jack because I've never seen this movie, and I've heard so much about him. I want to hear his voice as well XD",2019-03-09T00:51:56.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,i've never heard of the sandman before. has anyone?,2019-03-07T13:42:21.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,WHY DONT THEY SHOW MY FAVOURITE ANAMATED CHARACTER EVER JACK HE IS BASICALLY THE MAIN CHARACTER,2019-03-03T05:17:13.000Z,2
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,"Aye, Santa is Braum!",2019-02-28T01:00:43.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,No Jack?,2019-02-25T18:36:00.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,"I like how the characters look unique even the cinematography looks really cool. Its like the animators put a lot of time,efforts and thought into the movie which made it look great. I'd definitely watch this and most likely to own the dvd.",2019-02-24T20:00:57.000Z,2
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,Dude this movie gives me so much nostalgia,2019-02-09T07:18:06.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,"""and santa...""",2019-01-27T03:30:53.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,"I love this movie with all my heart, but I just think it's absolutely laughable how most of the scenes from this trailer isn't even in the actual movie itself 😂😂 reminds me too much of Frozen 😂😂",2019-01-23T15:47:32.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,this movie looks epic. i feel kinda bad that i never got around to watching it.,2019-01-04T21:15:10.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,"Where is rise of the guardians 3? Ohh 2, no?
2019 still waiting lol",2019-01-04T16:35:39.000Z,3
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,When will they make a sequel ;-;,2018-05-01T01:57:41.000Z,4
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,To adults: Was it good?,2017-05-05T13:23:30.000Z,12
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,"Was this a fanmade trailer jack frost wasn't there . There were only Santa Claus,Sandman, Easter bunny and the Tooth fairy tell me this wasn't a fanmade trailer.",2017-03-12T02:44:52.000Z,0
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,"Okay, Dreamworks is clearly losing against their competitors. Maybe not in money terms, but certainly in reputation and respect. I remember when they used to be renowned for their snarky, sarcastic, kids AND adults targeted movies. Kids would love it, but so would the adults. With Disney, yes it's there, but it wasn't as prominent with both targets. Clearly, Dreamworks is losing that streak. Trolls was the biggest proof of this. A by-the-book kids movie. Predictable plot, nearly one-note characters (except for the main two characters), and a juke box musical. Their last movie that striked both adults and kids like they used to was Kung Fu Panda 3. Well, even though the people want something original, they could start off with something a little more simple than a completely 100% original concept. Like Rise of the Guardians 2. It's what a lot of people want and the characters are still memorable, (although Tooth could use a little more development), and it has animation that has still not been topped by any of your other movies. And you now know what to fix. The clunky writing, the mainly kids targeted plot and humor, and some more development for some characters. It's a redeeming chance. You could even rework it to have that orignal snarky, and sarcastic attitude that we saw more with Bunny and Jack, and bring it to some other characters.

And I know they won't ever see this, but it's nice to get it off my chest. I know they're just gonna keep pandering to focus groups and the masse. 

But seriously, who misses the old Dreamworks?",2017-03-05T19:56:43.000Z,138
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,"It was through the movie that I  was introduced to Mr. Joyce's work. His books are so much fun and a clean, fairy tale-like quality to them.",2017-02-15T17:09:30.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,I love jack,2017-02-08T14:28:00.000Z,2
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,i dont like jackfrost,2017-02-03T08:11:58.000Z,1
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,I love this movie and I want Rise of the guardians 2 pleace....,2016-12-28T04:48:55.000Z,14
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,Anyone just realised that movies like this are just an exaggerated bedtime story your parents tell you when you were a kid,2016-12-27T07:43:02.000Z,15
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,where can i get the trailer soundtrack?,2016-12-14T07:08:15.000Z,5
2012-03-28T17:00:48.000Z,aPLiBxhoug0,Rise of the Guardians: Official Trailer,loved it <3,2016-11-26T22:22:16.000Z,4
