publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",I watched the movie and it was great!,2019-11-13T01:46:41.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD","My nana bought me Gnomeo and Juliet when I was about 5, and I loved it.......WHY HUMANITY HAS TO GO AND SMASH THIS MOVIE",2019-11-07T16:12:38.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD","Here you go:
1:19
1:19
1:19
(You’re welcome)",2019-11-04T22:47:08.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",We-we watched this in our English class...,2019-10-25T19:31:19.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",Whoever made this movie has some serious questions to ask himself.,2019-10-16T16:16:11.000Z,3
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",WOO,2019-10-15T15:16:20.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",I can imagine being their neighbor,2019-10-06T23:53:02.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",Get gnomed https://youtu.be/5T5BY1j2MkE,2019-10-06T01:06:15.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",Mankini  jacuzzi scene was very funny,2019-10-05T16:19:18.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",Get gnomed,2019-09-29T04:33:43.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD","""Keemstar the movie""",2019-09-21T19:08:51.000Z,1
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",You’ve been gnomed!!,2019-09-01T12:51:24.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD","I think I speak for us all here.. 

What the fuck",2019-08-12T05:57:33.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",Is this a sequal to gnomio and juliet? I havent seen that movie in YEARS. So why are they making a movie about it now?,2019-08-08T02:11:58.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",PAUSE! THAT OMEGA SUSPECT!!!!!!!!!!!!!!! 2:05,2019-08-24T20:47:12.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD","I swear they added in extra dialogue and scenes to the trailer that weren’t in the movie, it just goes to show, their movie is so bad, they can’t even show the actual thing in the trailer",2019-07-30T19:23:54.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD","oh ho ho ho he he he he he he ha
oy there old chum
im not a gnelf
im not a gnoblin
im a gnome
and YOUVE BEEN GNOMED",2019-07-30T17:32:38.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",0:07 just saying,2019-07-30T03:46:54.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD","boob ass with nipples on it s... joke the dildo shadow and more 

yea this is not un porn",2019-07-30T03:41:32.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD","EVERY ONE THAT WATCH THIS FULLY,THEY HAVE BEEN GNOMED!!",2019-07-30T01:20:37.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",BEEEEEERRRRNIIIIIEEEEEE AND ELLLLLLTTTTTTOOOONNNN,2019-07-25T06:22:45.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD","Nain deux trois ... le film est naincomplet
Pardon ( the joke is even better in french )",2019-07-23T14:45:25.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD","I didnt believe i could get stage 3 cancer from a video... 



This trailer proved me dead wrong",2019-07-20T17:00:46.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",hooray I have cancer now!,2019-07-07T16:40:18.000Z,0
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",Where’s Featherstone and Tybalt?,2019-07-04T02:53:31.000Z,0
