publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",this is where the frontier pushes back. what a great line,2019-11-02T14:27:34.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",1,2019-10-12T09:29:13.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",WHO IS FAN OF CHRIS PINE,2019-09-06T09:01:35.000Z,1
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",Ohh. I don't know there is more after into darkness,2019-08-22T16:18:22.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",You ain’t gonna have a choice,2019-08-11T09:17:30.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",هل يوجد جزء رابع الي عربي خل يرد رجاءا,2019-08-03T11:04:49.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",This movie is like made by Michael Bay,2019-08-03T02:02:37.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",Missing Chris pine😥,2019-07-20T17:09:35.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",These new star trek movies are way better than starwars,2019-06-17T14:15:22.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD","This was better than any Avengers movie. For that matter, it's a better franchise than the Avengers. I was such a massive Iron Man fan, but the Avengers (barring the 1st one) are just a fcking, infantile bore. The writing, the banter, the characters, the sets... and set pieces, the music-cinematography-editing in Beyond is leagues above Avengers Ultron, Infinity Wars and Endgame.  So of course, it has to be less popular. So un-surprised.",2019-06-17T04:02:08.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",Can anyone identify the music in this trailer?,2019-04-04T23:43:30.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",Joe taslim,2019-04-02T23:39:42.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",I always wondered how can there be an explosion without oxygen. and there is nothing in space,2019-03-29T04:37:13.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",This is a good movie & story.,2019-01-12T16:17:52.000Z,1
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",I am on counting on it. - Star Trek Beyond,2018-12-30T15:24:26.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",I would love to see them make the next Star Trac 4 or 5 the one that filed the one that I love the most which is Star Trek Into Darkness for 2018 or 2019 and please bring back Chris Pine Chris Pine you have a cast right but you are the captain of the USS Enterprise so let's just say you have a crew leaser take a pay cut give Paramount Pictures whatever they want but you do the movie sir you make the movie you are the captain of the USS Enterprise and you're one of the best captains we've ever seen we all love you out here in America and take half pay whatever it takes please call waiting thank you very much Robert h a l l e r October 2018 and a big great birthday gift to me cuz I've been a fan for you since I was little boy in one of the best Captain Curt's ever in history of the whole Star Trek series and I do like Kathryn Janeway of best but I really think you're very very good Skipper and a good captain and I served 18 years and we all watched all the Star Trek movies we love the movies fantastic job everything is great and I'm watching you tonight right now you're on fxm Star Trek Into Darkness,2018-10-19T02:40:06.000Z,4
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD","Omg I didn't know the guy who portrayed Pavel Chekov DIED!!!!!
I am so shocked!",2018-08-27T15:11:53.000Z,1
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",hi,2018-08-24T16:58:50.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD","On a rescue mission, the USS Enterprise is attacked by Krall, a warlord sworn against the Federation. Crashed on an uncharted world, the crew must join forces with Jaylah, a rebellious alien warrior, to escape and stop Krall from triggering all-out war. 
https://amzn.to/2MI9FZg",2018-08-13T16:41:11.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",Ohh Anton 🚚😕,2018-08-10T17:08:15.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",I actually enjoyed this film. After the disastrous first trailer I was ready to hate it.,2018-05-19T04:14:22.000Z,1
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD","See the pre-school ""Star Trike"" parody.",2018-05-02T19:55:31.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD","Can Star Trek fans answer a few questions for me?
1. In the last movie Kirk is injected with Khan's blood. Does it give him similar abilities as Khan or just cure the radiation effects?
2. What happened to the beaming algorithm that allows inter galactic teleporting?
Does this movie ignore what happened in the last one?",2018-02-16T03:35:20.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",Noiwa on,2017-12-22T05:13:00.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",Boring one stab piano with hybrid cinematic growls for trailers. They still do this and have not learn their lesson.,2017-11-30T03:20:19.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",bok gibi,2017-11-03T19:41:22.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD","The star base was ridiculous.  Spacecraft, like submarines, conserve every inch.  This abstract painting space station just made no sense at.  If they had that technology, they could do anything.",2017-10-16T04:08:12.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD","duarte to losdangeles 07_09_2017 intercepite please,
aqui your father wins transfferindo 40$gws",2017-09-16T10:33:50.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",I can't find trailer for the newest Star Trek film. Any help?,2017-08-29T10:44:34.000Z,1
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",Is that the green lantern?,2017-08-19T18:28:28.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD","Entreprises completed ate 2225
difici a dur da famille qui aliéna",2017-08-19T11:01:27.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD","0:38 every time i hear that voice, i think ""The Expanse""",2017-08-19T07:26:34.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",Gavin Magary (Pete's Dragon) is with Steve Trevor (Wonder Woman),2017-07-28T03:22:59.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",its the wonder woman dude!,2017-07-16T16:02:05.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",i will go as far to say i loved this movie and think it's better than the first two and ranks at around #4 in the entire franchise of 13 movies,2017-07-12T04:21:32.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",Does anyone know the song that plays in this trailer?,2017-06-15T21:48:48.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD","2,5tnds. 27 to df",2017-05-31T17:59:01.000Z,0
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",You would think after all these years they would have developed shields that work and stay up but no,2017-05-29T17:40:08.000Z,2
