publish_time,Video ID,Title,Comment,updatedAt,likeCount
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,Still cant believe ian’s boyfriend is a turtle😂,2019-11-01T13:52:44.000Z,0
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,Transformers: The Mutant Turtles,2019-10-27T16:48:33.000Z,0
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,I honestly thought in the theatre that Stephen was gonna pull out his bow and start blasting,2019-10-19T12:23:50.000Z,0
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,When half the comments is about The Arrow😥😰😥,2019-08-17T19:30:34.000Z,1
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,1:40 oh y'all got jokes huh my favorite part of the trailer,2019-07-16T19:18:14.000Z,4
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,An absolutely epic trailer to an otherwise atrocious movie.,2019-07-12T22:32:37.000Z,1
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,Why I never heard of this?,2019-06-28T09:14:24.000Z,0
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,1:59 Who else wants to hear that in the song?,2019-06-28T03:56:58.000Z,0
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,I gotta say I like the way the turtles are designed in this film the make shift armour  the random bits of junk they were even the trousers and boots work quite well,2019-06-22T19:34:52.000Z,0
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,I Like TMNT,2019-06-13T03:22:23.000Z,0
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,Told you so ha Hollywood you may get your movie New York city March 25 feds sciences bad Feds bad judges you name it payed off people lawyers and so on Its up to all Humanity to Get to there main data base New York city we have evil people in NewYork need to be locked up good movie  better ones to focus on,2019-05-16T23:15:42.000Z,2
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,I was never expecting this to be pg 13 😂😂😂,2019-05-05T05:21:02.000Z,0
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,I still haven't seen it yet! It looks awesome and i loved the first movie. 😕 I can't wait to get it on dvd,2019-03-05T12:54:42.000Z,1
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,My name is Oliver Queen I become Wild Dog !,2019-02-08T21:33:56.000Z,0
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,"Making turtles look like orks 
Hashem damned HollyWand",2019-01-26T21:09:28.000Z,0
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,"Anyways, whether you liked it or hated is actually pretty irrelevant. The important thing is if the target audience liked it. I. E. the kids. And I remember when I was watching it in the theater hearing more than one child  cheering and during the credits theme song section I saw one kid down the isle hopping up and down to the music with a look of pure joy on his face.",2019-01-12T19:44:43.000Z,1
2015-12-10T05:45:30.000Z,3CKgLNGfdSM,Teenage Mutant Ninja Turtles: Out of the Shadows Official Trailer #1 (2016) - Megan Fox Movie HD,1:02 New Englanders in NYC,2018-12-30T17:03:13.000Z,0
