publish_time,Video ID,Title,Comment,updatedAt,likeCount
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],I want to see it again. Been a long time,2019-11-14T12:40:03.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],I want part 2!!! NOW! RIGHT NOW!!,2019-11-12T19:49:33.000Z,2
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],THE FUUUUUUUUUUMES,2019-11-02T16:23:38.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],Wanker,2019-10-21T23:20:31.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],One of my favorite things about the original 2011 movie wasn’t even the movie but was the wii game for it the fact that it tells the story but in a different way a way without the main vilion but the side vilion as the main antagonist and one of the parts was the captain haddock side story/multiplayer post game which is one of my favorite modes so I really hope this remake gets that in hd for a new console and sparks the tintin movies back up (cause it ended in a cliffhanger),2019-10-18T04:04:46.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],still waiting for 55 more sequels!!,2019-10-12T08:28:11.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],Tintin 2 😭🙏🏻,2019-10-01T20:33:19.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],Simon pegg?,2019-09-25T10:34:06.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],Tintin voice is similar to Holland,2019-09-23T08:34:29.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],Who wants to see Rupert Grint as Tintin in a live action adaptation. I Think he will suit well  as Tintin.,2019-09-17T17:27:55.000Z,1
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],Amazing movie. No more words needed.,2019-09-16T05:57:18.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],I was 3 when i watched this...Still remember because of how great this movie was,2019-08-21T09:55:50.000Z,1
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],I love Tin Tin,2019-08-06T17:06:02.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],2019???,2019-08-06T12:39:31.000Z,1
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],the crab with the golden claws and the srecret of unicorn,2019-07-23T04:47:24.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],Fake,2019-07-19T09:28:55.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],i NEED a second part !!! 🙏🙏👋👋 please make this possible !!! 😃😃😃,2019-07-19T08:39:19.000Z,3
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],The sequel please,2019-07-19T03:16:09.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],I've heard that this is a trilogy movie... I'm still waiting for the next movie :(,2019-07-01T04:35:07.000Z,1
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],Teto,2019-06-20T08:21:12.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],We want Tintin part 2 please,2019-05-31T12:49:28.000Z,1
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],The greatest movie i watch when i was a kid,2019-05-11T16:54:31.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],I wait second movie .I love and like Tintin movie and shows .,2019-05-11T16:03:23.000Z,5
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],"I used to watch tintin cartoon series when I was a little young that was awesome, I never ever forget those moment.",2019-05-08T15:23:24.000Z,2
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],Still waiting for red rakhams treasure,2019-04-30T18:49:20.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],*mirio togata*,2019-04-30T15:15:28.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],*Tintin on the moon nostalgia*,2019-04-20T18:32:12.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],What  doing dear it is not 2nd part,2019-04-11T10:21:25.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],"No, us Belgians do not have a Scotish accent.",2019-04-06T22:21:28.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],Who's watching this from their mother's womb ?,2019-03-31T21:46:03.000Z,0
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],"woah, Its been 9 years and damn........those graphics still great as ever",2019-03-28T03:57:28.000Z,1
2011-07-11T17:37:03.000Z,xz3j8gKRUTg,TINTIN Official Trailer # 2 [Spielberg],"Thank you sooo much Fresh Movie trailers  for showing us the 2nd trailer of the Adventures of Tintin: Secret of the Unicorn movie . I am a Tintinologist and I try to know each and every thing about Tintin and the other characters and you have added some more information about Tintin so THANK YOU ONCE AGAIN 

From: Subhashini",2019-03-22T16:33:31.000Z,0
