publish_time,Video ID,Title,Comment,updatedAt,likeCount
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,where is ariana?,2019-11-11T19:54:37.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,This movie was fucking great lol. The people bitching about it forgot that they were 10-15 years old when the first one came out. Take your nostalgia ugoogles off.,2019-11-07T18:36:12.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,0:26 joe jonas,2019-10-02T13:51:13.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,2:00,2019-09-26T03:11:36.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,Zoolander 2 Paramount,2019-09-07T01:48:57.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,1:58 best part 😂,2019-09-06T21:12:56.000Z,1
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,Trailer looks funny. But the movie is one of the worst ive ever seen 😂,2019-08-27T15:40:18.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,"Who saw this movie, was it good?",2019-08-24T15:16:38.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,It's been three years i still cannot figure out why they made this movie.😒,2019-08-17T14:53:03.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,No one's gonna talk about that Lewis Hamilton is in this movie?,2019-08-14T07:35:09.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,it's a given that you should take sequels with a grain of salt - but this one should be taken with a bullet,2019-07-11T08:09:32.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,Dont mess with the zoolander,2019-06-12T15:57:24.000Z,1
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,Im watching this for ariana grande,2019-06-08T18:24:47.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,I came here only for Benedict...idk who is he anymore slsmsm,2019-06-04T18:56:12.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,A movie based on truth to mock the sheeple.,2019-06-01T22:42:20.000Z,1
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,What happened to Ben Stiller after Zoolander 2?,2019-05-14T11:58:24.000Z,1
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,This movie sucked a turd fungus. 😴,2019-05-11T04:00:52.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,Hahahah,2019-05-01T22:58:11.000Z,0
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,So this was Dr. Strange's only way?,2019-04-12T22:46:06.000Z,1
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,WTF DR STRANGE JUST GOT HWHSJWJWJWKW,2019-04-05T06:54:59.000Z,1
2015-11-18T13:00:52.000Z,4CL4LNWHegk,Zoolander 2 Trailer (2016) - Paramount Pictures,we so need a Zoolander III movie...a time travel movie or one involving suspended animation where the future is controlled by the Fashion Commander of the world Mugatu the Insanely Brilliant and history is recorded as BM (before  Mugatu) or AM (after Mugatu) and only Derek and Hansel can prevent the world from falling further into the Fashion Chaos Event Horizon...,2019-03-17T14:30:31.000Z,0
