publish_time,video_ID,Title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,ProductionFirm,Movie,Ticker
2016-01-15T08:15:16.000Z,saHzng8fxLs,"10 Cloverfield Lane Official Trailer #1 (2016) -  Mary Elizabeth Winstead, John Goodman Movie HD",10265483,34836,1319,0,6807,Paramount,10 Cloverfield Lane,
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,6537137,15801,1190,0,3707,Paramount,13 Hours The Secret Soldiers of Benghazi ,
2016-10-20T02:16:41.000Z,4mcVodJmBlU,A Cure for Wellness | Teaser Trailer [HD] | 20th Century FOX,5079608,9195,424,0,890,20th Century FOX,A Cure for Wellness,
2018-02-12T20:00:00.000Z,WR7cc5t7tv8,A Quiet Place (2018) - Official Trailer - Paramount Pictures,22455888,80302,2818,0,10734,Paramount,A Quiet Place (2018),
2018-06-06T16:00:23.000Z,nSbzyEJ8X9E,A STAR IS BORN - Official Trailer 1,31568799,217127,6076,0,20125,Warner Bros,A STAR IS BORN ,
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,6606088,47919,7088,0,7917,Disney,A Wrinkle In Time ,
2018-03-21T17:59:05.000Z,ri1Cc3Yz09U,Action Point (2018) - Official Trailer - Paramount Pictures,6693930,33094,2910,0,2385,Paramount,Action Point (2018) ,
2009-07-24T02:12:07.000Z,LjMkNrX60mA,Alice in Wonderland Teaser 1,10279817,17918,939,0,5091,Disney,Alice in Wonderland,
2016-12-25T04:59:46.000Z,H0VW6sg50Pk,Alien: Covenant | Teaser Trailer [HD] | 20th Century FOX,21232031,122771,10685,0,18592,20th Century FOX,Alien: Covenant,
2016-10-05T13:45:18.000Z,Jlp94-C31cY,Allied Official Trailer 1 (2016) - Brad Pitt Movie,6269016,21630,838,0,1873,Paramount,Allied,
2015-10-29T15:59:30.000Z,Sc5ZuVd-K0o,Alvin and the Chipmunks: The Road Chip | Official Trailer 2 [HD] | Fox Family Entertainment,2206697,6105,1214,0,955,20th Century FOX,Alvin and the Chipmunks: The Road Chip,
2017-03-28T22:56:04.000Z,huX1bmfdkyA,An Inconvenient Sequel: Truth To Power (2017) - Official Trailer - Paramount Pictures,2892290,16583,2204,0,3583,Paramount,An Inconvenient Sequel: Truth To Power (2017) ,
2017-12-13T14:00:03.000Z,89OP78l9oF0,Annihilation (2018) - Official Trailer - Paramount Pictures,18480389,70771,6330,0,12713,Paramount,Annihilation (2018),
2015-11-03T17:31:37.000Z,WQkHA3fHk_0,ANOMALISA - Trailer (2015) - Paramount Pictures,1116079,3545,186,0,256,Paramount,ANOMALISA,
2016-04-27T16:31:05.000Z,CQx2eosUlXY,"Approaching the Unknown Official Trailer #1 (2016) - Mark Strong, Luke Wilson Movie HD",4616248,14309,937,0,2117,Paramount,Approaching the Unknown ,
2018-07-21T19:24:00.000Z,WDkg3h8PCVU,Aquaman - Official Trailer 1 - Now Playing In Theaters,60265517,649916,37758,0,93770,Warner Bros,Aquaman ,
2015-04-23T20:27:18.000Z,jg1Jt2Ft6xg,Area 51 Official Trailer 1 (2015) - Sci-Fi Horror Found Footage Movie HD,11859726,44794,3372,0,4750,Paramount,Area 51 ,
2016-08-16T14:00:03.000Z,tFMo3UJ4B4g,Arrival Trailer (2016) - Paramount Pictures,20881230,96995,4984,0,13801,Paramount,Arrival,
2018-08-28T15:32:39.000Z,y7wzBVARwaU,Bad Times at the El Royale | Official Trailer [HD] | 20th Century FOX,24787390,27354,1206,0,2048,20th Century FOX,Bad Times at the El Royale,
2018-08-28T15:32:39.000Z,y7wzBVARwaU,Bad Times at the El Royale | Official Trailer [HD] | 20th Century FOX,24787390,27354,1206,0,2048,20th Century FOX,Bad Times at the El Royale,
2015-07-11T19:09:23.000Z,0WWzgGyAH6Y,Batman v Superman: Dawn of Justice - Comic-Con Trailer [HD],74094574,466449,19587,0,93352,Warner Bros,Batman v Superman: Dawn of Justice,
2017-03-22T13:05:28.000Z,eyKOgnaf0BU,Baywatch (2017) - Official Trailer - Paramount Pictures,15457874,52136,7022,0,3564,Paramount,Baywatch (2017),
2016-05-23T12:32:31.000Z,c38r-SAnTWM,Beauty and the Beast Official US Teaser Trailer,22431014,157147,6890,0,17851,Disney,Beauty and the Beast,
2016-03-16T16:11:10.000Z,3BmeR9GYdDU,"Ben-Hur Official Trailer #1 (2016) - Morgan Freeman, Jack Huston Movie HD",8273137,16984,7457,0,4095,Paramount,Ben-Hur,
2017-05-08T16:35:21.000Z,gCcx85zbxz4,BLADE RUNNER 2049 - Official Trailer,29284261,168911,9716,0,17892,Warner Bros,BLADE RUNNER 2049,
2018-07-17T13:00:41.000Z,mP0VHJYFOAU,Bohemian Rhapsody | Official Trailer [HD] | 20th Century FOX,34972828,314019,5663,0,19106,20th Century FOX,Bohemian Rhapsody,
2018-03-02T08:00:41.000Z,LDxgPIsv6sY,Book Club (2018) - Official Trailer - Paramount Pictures,3830986,12239,1230,0,854,Paramount,Book Club (2018),
2012-04-24T16:43:34.000Z,6CKcqIahedc,Brave Official Trailer #3 (2012) Pixar Movie HD,725513,2466,109,0,225,Disney,Brave,
2018-09-24T07:00:04.000Z,lcwmDAYt22k,Bumblebee (2018) - New Official Trailer - Paramount Pictures,21261424,170319,8249,0,22949,Paramount,Bumblebee,
2015-11-25T05:15:53.000Z,uVdV-lxRPFo,Captain America: Civil War - Trailer World Premiere,60367178,356830,11078,0,55587,Marvel,Captain America: Civil War,
2015-06-16T21:11:47.000Z,6IKJFYegRJk,"Captive Official Trailer #1 (2015) - Kate Mara, David Oyelowo Movie HD",2179044,6236,575,0,841,Paramount,Captive,
2011-05-12T00:09:39.000Z,lg5hj2c5Nkk,Cars 2 - Theatrical Trailer,10608090,5792,1910,0,350,Disney,Cars 2 ,
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,22922899,143637,8533,0,13450,Disney,Cars 3,
2017-06-07T23:30:01.000Z,xlnPHQ3TLX8,Coco - Official US Trailer,3762914,20211,1456,0,2479,Disney,Coco,
2018-04-23T16:00:13.000Z,ZQ-YX-5bAs0,CRAZY RICH ASIANS - Official Trailer,25611094,180635,9408,0,16590,Warner Bros,CRAZY RICH ASIANS ,
2017-09-06T13:21:18.000Z,yyW_EX7iRW0,"Daddy&#39;s Home 2 Official Trailer #2 (2017) Mark Wahlberg, Will Ferrell Comedy Movie HD",11816736,60335,3334,0,3746,Paramount,Daddy's Home 2 ,
2015-06-19T16:40:42.000Z,OeknNwE4e1E,"Daddy&#39;s Home Official Trailer #1 (2015) Will Ferrell, Mark Wahlberg Comedy Movie HD",5769745,12376,572,0,728,Paramount,Daddy's Home,
2017-09-28T14:00:00.000Z,LtJ60u7SUSw,Darkest Hour - Official International Trailer (Universal Pictures) HD,5295278,13458,834,0,2480,Universal,Darkest Hour ,
2015-08-05T02:59:22.000Z,FyKWUTwSYAs,Deadpool | Red Band Trailer [HD] | 20th Century FOX,43076502,565197,13646,0,37211,20th Century FOX,Deadpool ,
2018-03-22T12:59:16.000Z,D86RtevtfrA,Deadpool 2 | The Trailer,46899581,631193,16698,0,30981,20th Century FOX,Deadpool 2,
2017-03-16T13:00:10.000Z,r7PLDbPPL7w,Diary of a Wimpy Kid: The Long Haul | Official Trailer [HD] | Fox Family Entertainment,2086121,5559,28125,0,8174,20th Century FOX,Diary of a Wimpy Kid: The Long Haul,
2014-07-15T14:50:19.000Z,z3biFxZIJOQ,Disney&#39;s Big Hero 6 - Official US Trailer 1,20125072,54803,3506,0,6671,Disney,Big Hero 6,
2014-11-19T14:00:02.000Z,20DF6U1HcGQ,Disney&#39;s Cinderella Official US Trailer,36063396,136432,8121,0,13017,Disney,Cinderella,
