publish_time,video_ID,Title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,ProductionFirm,Movie,Ticker
2016-10-20T02:16:41.000Z,4mcVodJmBlU,A Cure for Wellness | Teaser Trailer [HD] | 20th Century FOX,5079608,9195,424,0,890,20th Century FOX,A Cure for Wellness,
2016-12-25T04:59:46.000Z,H0VW6sg50Pk,Alien: Covenant | Teaser Trailer [HD] | 20th Century FOX,21232031,122771,10685,0,18592,20th Century FOX,Alien: Covenant,
2015-10-29T15:59:30.000Z,Sc5ZuVd-K0o,Alvin and the Chipmunks: The Road Chip | Official Trailer 2 [HD] | Fox Family Entertainment,2206697,6105,1214,0,955,20th Century FOX,Alvin and the Chipmunks: The Road Chip,
2018-08-28T15:32:39.000Z,y7wzBVARwaU,Bad Times at the El Royale | Official Trailer [HD] | 20th Century FOX,24787390,27354,1206,0,2048,20th Century FOX,Bad Times at the El Royale,
2018-07-17T13:00:41.000Z,mP0VHJYFOAU,Bohemian Rhapsody | Official Trailer [HD] | 20th Century FOX,34972828,314019,5663,0,19106,20th Century FOX,Bohemian Rhapsody,
2015-08-05T02:59:22.000Z,FyKWUTwSYAs,Deadpool | Red Band Trailer [HD] | 20th Century FOX,43076502,565197,13646,0,37211,20th Century FOX,Deadpool ,
2018-03-22T12:59:16.000Z,D86RtevtfrA,Deadpool 2 | The Trailer,46899581,631193,16698,0,30981,20th Century FOX,Deadpool 2,
2017-03-16T13:00:10.000Z,r7PLDbPPL7w,Diary of a Wimpy Kid: The Long Haul | Official Trailer [HD] | Fox Family Entertainment,2086121,5559,28125,0,8174,20th Century FOX,Diary of a Wimpy Kid: The Long Haul,
2015-04-19T18:56:55.000Z,_rRoD28-WgU,Fantastic Four | Official Trailer [HD] | 20th Century FOX,12163648,43700,9166,0,7467,20th Century FOX,Fantastic Four,
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,6708700,10425,1154,0,876,20th Century FOX,Ferdinand,
2016-08-15T02:22:33.000Z,RK8xHq6dfAo,Hidden Figures | Teaser Trailer [HD] | 20th Century FOX,6981544,46680,2998,0,4932,20th Century FOX,Hidden Figures ,
2015-06-24T16:59:59.000Z,k7X8fCUMMVM,Hitman: Agent 47 | Official Trailer 2 [HD] | 20th Century FOX,4966647,13910,1535,0,1541,20th Century FOX,Hitman: Agent 47 ,
2016-03-01T15:41:31.000Z,HyLquKn3Swc,"Ice Age: Collision Course Official Trailer #2 (2016) - Ray Romano, John Leguizamo Animated Movie HD",12723692,35981,3092,0,4620,20th Century FOX,Ice Age: Collision Course ,
2015-12-13T20:39:47.000Z,LbduDRH2m2M,Independence Day: Resurgence | Official Trailer [HD] | 20th Century FOX,26856839,96135,6215,0,14977,20th Century FOX,Independence Day: Resurgence ,
2016-11-14T17:54:09.000Z,g9pW3B8Ycc4,JACKIE | OFFICIAL TRAILER | FOX Searchlight,4433991,14566,443,0,1420,20th Century FOX,JACKIE ,
2015-07-15T12:59:45.000Z,SN4MLMHET7w,JOY | Teaser Trailer [HD] | 20th Century FOX,9268817,19866,2602,0,2251,20th Century FOX,JOY ,
2016-06-22T13:28:36.000Z,nPfYXXg65qA,Keeping Up With the Joneses | Official Trailer [HD] | 20th Century FOX,4616633,9657,604,0,799,20th Century FOX,Keeping Up With the Joneses ,
2017-04-25T03:30:14.000Z,6Nxc-3WpMbg,Kingsman: The Golden Circle | Official Trailer [HD] | 20th Century FOX,23905833,199838,5395,0,10335,20th Century FOX,Kingsman: The Golden Circle ,
2014-09-23T00:25:15.000Z,kl8F-8tR8to,Kingsman: The Secret Service | Official Trailer 2 [HD] | 20th Century FOX,18030791,56923,1925,0,3195,20th Century FOX,Kingsman: The Secret Service ,
2016-10-20T12:59:00.000Z,Div0iP65aZo,Logan | Official Trailer [HD] | 20th Century FOX,30569818,267430,4470,0,32818,20th Century FOX,Logan ,
2018-01-16T14:00:26.000Z,E0cbWdlQg_8,"Love, Simon | Official Trailer 2 [HD] | 20th Century FOX",28749181,145254,7988,0,10620,20th Century FOX,"Love, Simon ",
2017-12-08T20:25:52.000Z,4-BTxXm8KSg,Maze Runner: The Death Cure | Official Final Trailer [HD] | 20th Century FOX,19120611,105343,2150,0,10310,20th Century FOX,Maze Runner: The Death Cure ,
2015-05-19T13:00:20.000Z,-44_igsZtgU,Maze Runner: The Scorch Trials | Official Trailer [HD] | 20th Century FOX,12042866,75892,1424,0,7057,20th Century FOX,Maze Runner: The Scorch Trials ,
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,8141416,20197,1418,0,1201,20th Century FOX,Mike and Dave Need Wedding Dates ,
2016-03-15T12:59:57.000Z,tV_IhWE4LP0,Miss Peregrines Home for Peculiar Children | Official Trailer [HD] | 20th Century FOX,15204277,90333,2931,0,11174,20th Century FOX,Miss Peregrine&#39;s Home for Peculiar Children ,
2016-06-27T12:59:40.000Z,rqmHSR0bFU8,Morgan | Official Trailer [HD] | 20th Century FOX,6325086,13112,1459,0,2104,20th Century FOX,Morgan ,
2017-06-01T13:00:34.000Z,Mq4m3yAoW8E,Murder on the Orient Express | Official Trailer [HD] | 20th Century FOX,12997766,73365,5136,0,8637,20th Century FOX,Murder on the Orient Express ,
2015-03-19T13:57:43.000Z,rFGiHm5WMLk,Paper Towns | Official Trailer [HD] | 20th Century FOX,23686829,224563,3748,0,11573,20th Century FOX,Paper Towns ,
2018-01-08T14:00:11.000Z,PmUL6wMpMWw,Red Sparrow | Official Trailer [HD] | 20th Century FOX,30132737,58260,5566,0,5924,20th Century FOX,Red Sparrow ,
2016-12-16T14:00:11.000Z,PsBWnst8f7w,Snatched | Red Band Trailer [HD] | 20th Century FOX,3365336,9377,21891,0,3694,20th Century FOX,Snatched ,
2015-03-31T12:59:57.000Z,ltijEmlyqlg,Spy | Official Trailer 2 [HD] | 20th Century FOX,8245821,21885,1066,0,1058,20th Century FOX,Spy ,
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,16380545,56515,1843,0,6164,20th Century FOX,TAKEN 3 ,
2018-10-16T15:59:47.000Z,FPv3e2FZOgo,THE AFTERMATH | Official Trailer | FOX Searchlight,2354504,4123,246,0,358,20th Century FOX,THE AFTERMATH,
2018-03-28T13:00:07.000Z,tN8o_E_f9FQ,The Darkest Minds | Official Trailer [HD] | 20th Century FOX,22099042,82892,7872,0,11198,20th Century FOX,The Darkest Minds ,
2018-09-04T13:01:53.000Z,SYb-wkehT1g,THE FAVOURITE | Official Trailer | FOX Searchlight,9737469,33267,1302,0,2029,20th Century FOX,THE FAVOURITE ,
2017-06-28T13:00:13.000Z,AXCTMGYUg9A,The Greatest Showman | Official Trailer [HD] | 20th Century FOX,21138929,94923,2726,0,5321,20th Century FOX,The Greatest Showman ,
2018-06-25T00:20:04.000Z,3MM8OkVT0hw,The Hate U Give | Official Trailer [HD] | 20th Century FOX,19207808,220799,9003,0,21209,20th Century FOX,The Hate U Give ,
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,15753619,48233,1403,0,2022,20th Century FOX,The Longest Ride ,
2015-06-08T12:53:29.000Z,Ue4PCI0NamI,The Martian | Teaser Trailer [HD] | 20th Century FOX,22094074,92991,2954,0,10410,20th Century FOX,The Martian ,
2017-05-31T13:07:18.000Z,Mu41hu1a_8c,The Mountain Between Us Trailer #1 (2017) | Movieclips Trailers,2432511,13342,487,0,1231,20th Century FOX,The Mountain Between Us Trailer #1 (2017) ,
2015-06-17T16:01:29.000Z,fVR4E6Q6u5g,The Peanuts Movie | Official Trailer [HD] | Fox Family Entertainment,2990153,12417,475,0,1141,20th Century FOX,The Peanuts Movie ,
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,17386784,20370,2439,0,2899,20th Century FOX,The Post ,
2018-06-26T13:00:33.000Z,WaG1KZqrLvM,The Predator | Official Trailer [HD] | 20th Century FOX,12595403,94578,7925,0,13679,20th Century FOX,The Predator ,
2015-07-17T12:59:59.000Z,QRfj1VCg16Y,The Revenant | Official Teaser Trailer [HD] | 20th Century FOX,26137707,66794,2934,0,7598,20th Century FOX,The Revenant ,
2017-07-19T13:59:40.000Z,XFYWazblaUA,THE SHAPE OF WATER | Official Trailer | FOX Searchlight,23321741,117140,6942,0,9856,20th Century FOX,THE SHAPE OF WATER ,TFCF
2017-03-23T16:45:12.000Z,Jit3YhGx5pU,"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI | Official Red Band Trailer | FOX Searchlight",8958832,36810,1800,0,3115,20th Century FOX,"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI ",
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,9829786,32525,1891,0,2906,20th Century FOX,Victor Frankenstein ,
2016-12-09T14:00:12.000Z,UEP1Mk6Un98,War for the Planet of the Apes | Teaser Trailer [HD] | 20th Century FOX,15962094,88286,3703,0,7696,20th Century FOX,War for the Planet of the Apes ,
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,7832811,32714,1910,0,2315,20th Century FOX,Why Him? ,
2015-12-11T13:59:49.000Z,COvnHv42T-A,X-Men: Apocalypse | Teaser Trailer [HD] | 20th Century FOX,54652382,283619,18435,0,39821,20th Century FOX,X-Men: Apocalypse ,
2017-06-15T09:00:03.000Z,IsAlKzokl-8,Goodbye Christopher Robin | Official HD Trailer | 2017,3499201,28898,818,0,2175,20th Century FOX,Goodbye Christopher Robin,
2009-07-24T02:12:07.000Z,LjMkNrX60mA,Alice in Wonderland Teaser 1,10279817,17918,939,0,5091,Disney,Alice in Wonderland,
2016-05-23T12:32:31.000Z,c38r-SAnTWM,Beauty and the Beast Official US Teaser Trailer,22431014,157147,6890,0,17851,Disney,Beauty and the Beast,
2012-04-24T16:43:34.000Z,6CKcqIahedc,Brave Official Trailer #3 (2012) Pixar Movie HD,725513,2466,109,0,225,Disney,Brave,
2011-05-12T00:09:39.000Z,lg5hj2c5Nkk,Cars 2 - Theatrical Trailer,10608090,5792,1910,0,350,Disney,Cars 2 ,
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,22922899,143637,8533,0,13450,Disney,Cars 3,
2017-06-07T23:30:01.000Z,xlnPHQ3TLX8,Coco - Official US Trailer,3762914,20211,1456,0,2479,Disney,Coco,
2014-07-15T14:50:19.000Z,z3biFxZIJOQ,Disneys Big Hero 6 - Official US Trailer 1,20125072,54803,3506,0,6671,Disney,Big Hero 6,
2014-11-19T14:00:02.000Z,20DF6U1HcGQ,Disneys Cinderella Official US Trailer,36063396,136432,8121,0,13017,Disney,Cinderella,
2013-09-26T18:32:25.000Z,TbQm5doF_Uc,Disneys Frozen Official Trailer,35518523,58892,9164,0,7633,Disney,Frozen,
2015-07-08T15:56:45.000Z,BQmllwTKtqU,Disneys The Finest Hours - Trailer 1,8378393,9909,628,0,1003,Disney,The Finest Hours ,
2017-12-19T13:16:10.000Z,2ktuvx9hrMw,Disneys The Nutcracker and the Four Realms - Teaser Trailer,7986639,89075,4846,0,7905,Disney,The Nutcracker and the Four Realms ,
2016-05-24T13:18:08.000Z,0tkLUap7oGQ,"Finding Dory Official Trailer #2 (2016) - Ellen DeGeneres, Albert Brooks Movie HD",5182740,23873,901,0,1614,Disney,Finding Dory,
2012-03-02T19:39:37.000Z,XBfcGLBJ2Uc,Frankenweenie Trailer,1807517,6014,254,0,1213,Disney,Frankenweenie ,
2018-04-13T12:00:05.000Z,i5qOzqD9Rms,Incredibles 2 Official Trailer,128862297,428708,24995,0,28132,Disney,Incredibles 2,
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,8831774,20155,1957,0,1174,Disney,Inside Out,
2014-11-06T08:01:04.000Z,2Byk9Is3TjY,Into The Woods Trailer - Now Playing In Theaters!,12522803,38603,2308,0,3292,Disney,Into The Woods,
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,1063675,2138,597,0,244,Disney,MARS NEEDS MOMS,
2018-09-17T12:48:27.000Z,-3jsfXDZLIY,Mary Poppins Returns | Official Trailer,16004951,180333,9511,0,20590,Disney,Mary Poppins Returns ,
2016-09-15T12:47:05.000Z,LKFuXETZUsI,Moana Official Trailer,36157709,151888,8480,0,12905,Disney,Moana,
2012-06-20T07:06:43.000Z,sED6FRXIHJc,Monsters University Teaser - Pony,6449152,23919,1087,0,3338,Disney,Monsters University,
2016-06-14T16:00:02.000Z,fPOamb6d_20,Petes Dragon - Official US Trailer,10821849,34642,2603,0,4380,Disney,Pete's Dragon,
2010-12-13T16:33:42.000Z,t5AqJww06bw,Pirates of The Caribbean 4 Official Trailer,6896620,20460,554,0,4495,Disney,Pirates of The Caribbean 4,
2016-10-03T01:06:21.000Z,1xo3af_6_Jk,Pirates of the Caribbean: Dead Men Tell No Tales Teaser Trailer,20862170,161900,5130,0,15051,Disney,Pirates of the Caribbean: Dead Men Tell No Tales,
2013-05-28T17:23:48.000Z,YRjztG65XgI,Planes Official Trailer #1 (2013) - Dane Cook Disney Animated Movie HD,897045,1858,520,0,538,Disney,Planes,
2014-02-05T18:33:01.000Z,uYXxqwk7EMY,Planes: Fire &amp; Rescue Official Trailer #2 (2014) - Disney Sequel HD,136976,745,310,0,206,Disney,Planes: Fire & Rescue,
