Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,2,1,0.08543045365675389,0.4431818181818181
Knn Classifier,0.1,3,2,2,1,0.07856742013183862,0.4444444444444444
Knn Classifier,0.1,3,3,2,1,0.08784697211229482,0.5032467532467533
Knn Classifier,0.1,3,4,2,1,0.12155975753643052,0.4576118326118325
Knn Classifier,0.1,3,5,2,1,0.05262753072714141,0.5205627705627706
Knn Classifier,0.1,3,6,2,1,0.09276722006000764,0.5853174603174603
Knn Classifier,0.1,3,7,2,1,0.05611958580845616,0.5396825396825397
Knn Classifier,0.1,3,8,2,1,0.05810880989909534,0.5364357864357864
Knn Classifier,0.1,3,9,2,1,0.027059884319416395,0.49404761904761907
Knn Classifier,0.1,3,10,2,1,0.0541924614434431,0.5496031746031745
Knn Classifier,0.1,3,11,2,1,0.011223917161691244,0.4920634920634921
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,3,2,0.039767982588820694,0.6662820512820513
Knn Classifier,0.1,3,2,3,2,0.10753755330458113,0.5979059829059828
Knn Classifier,0.1,3,3,3,2,0.08914552449758868,0.6518376068376068
Knn Classifier,0.1,3,4,3,2,0.12924095797125532,0.6368803418803418
Knn Classifier,0.1,3,5,3,2,0.07316761004645031,0.6256837606837607
Knn Classifier,0.1,3,6,3,2,0.11458067506330145,0.5994871794871796
Knn Classifier,0.1,3,7,3,2,0.11458067506330145,0.5994871794871796
Knn Classifier,0.1,3,8,3,2,0.1414576263862227,0.5599572649572649
Knn Classifier,0.1,3,9,3,2,0.15130377940443004,0.5871794871794872
Knn Classifier,0.1,3,10,3,2,0.15525011103272646,0.5898717948717949
Knn Classifier,0.1,3,11,3,2,0.07361165382554577,0.5215811965811965
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
