MOVIE,TICKER,Trailer Date,Like,Dislike,Views,Comments,Polarity,Subjectivity,Polarity_Std,Subjectivity_Std,Previous_month_price_variation,Average Volume,Volatility,Period_price_Variation
Bridesmaids  Trailer_comments.csv,CMCSA,"[datetime.datetime(2011, 2, 2, 19, 4, 11)]",5791,413,4011761,559,0.12916666666666668,0.540763888888889,0.4404153077208532,0.3690271229913173,0.03129208886122461,30927736.363636363,0.18566249694152767,0.13700976048966482
Jason Bourne ,CMCSA,"[datetime.datetime(2016, 4, 21, 4, 32, 26)]",35171,1051,11364926,3046,0.11236947211269278,0.3203280086266713,0.3243441366661257,0.3515119444109421,0.02241657458207103,17566090.90909091,0.42363286476985834,0.03528826128903361
Jurassic World Fallen Kingdom  Official Trailer HD_comments.csv,CMCSA,"[datetime.datetime(2017, 12, 8, 1, 44, 25)]",633307,34431,63567542,70032,0.05818105582795034,0.3431620381371835,0.3271147648586887,0.349418174189893,0.04805303132223632,26129145.454545453,1.2160002826316891,0.11525295851977073
Snow White and the Huntsman Official Movie Trailer _comments.csv,CMCSA,"[datetime.datetime(2012, 3, 19, 15, 51, 41)]",6487,440,1993484,388,0.11675015917436626,0.42624200426439235,0.3980130325818511,0.32509389796319693,0.02717610027047437,27232040.0,0.15793298878754983,0.0191804885419274
Battleship ,CMCSA,"[datetime.datetime(2011, 12, 9, 18, 37, 21)]",10507,800,5305292,3693,0.08834276993850307,0.3636555439193593,0.3419870680176952,0.3509789406783712,0.04951419227132593,36267872.72727273,0.3667137907537761,0.15986715728815085
Pitch Perfect 2 ,CMCSA,"[datetime.datetime(2015, 2, 11, 16, 17, 44)]",8867,413,2515757,507,0.20694601755068912,0.2892691492181288,0.36040843235695036,0.3852484283833372,0.028662708184975832,32078245.454545453,0.6090851230152019,0.04933202910958018
Fifty Shades Of Grey  Official Trailer_comments.csv,CMCSA,"[datetime.datetime(2014, 7, 24, 12, 18, 52)]",251716,36522,93992209,33926,0.10023994615488536,0.44889473232060323,0.3475612995218012,0.3450662088389449,0.05167417808915114,25687327.272727273,0.3323031833601278,0.03233719944393656
Fast Five  Teaser Trailer_comments.csv,CMCSA,"[datetime.datetime(2010, 12, 14, 21, 13, 4)]",5926,180,3935273,2055,0.11147383523420343,0.4133993998748614,0.37110058304814164,0.34614140146834826,0.06799401422978116,32915800.0,0.228485698208256,0.10313134592506053
Ted ,CMCSA,"[datetime.datetime(2012, 4, 5, 16, 30, 9)]",46591,2692,22008485,6529,0.1351516857305898,0.3987510977019288,0.3559134631545652,0.38493050776360077,0.02771235134831922,23510443.47826087,0.15783553255198401,0.023425911506244783
Sing ,CMCSA,"[datetime.datetime(2016, 5, 24, 1, 5, 7)]",42495,2508,9189018,4676,0.11385614871494626,0.33973881866672373,0.33303804044757485,0.35869378006496355,0.023606566195672606,21622809.09090909,0.3330936664160241,0.010383302082332273
Fast Furious 7 ,CMCSA,"[datetime.datetime(2014, 11, 1, 19, 55, 33)]",337280,10300,71162224,21535,0.1163036749809846,0.36452356041254264,0.3760699798240852,0.3798207042770724,0.04750178047366386,42822745.45454545,0.7880060914297815,0.07517971501840014
Les miserables ,CMCSA,"[datetime.datetime(2012, 6, 1, 21, 53, 6)]",23097,871,7881838,4561,0.21012955738258157,0.4155943071265652,0.36473026074048415,0.3878949254833209,-0.05884300255311762,26900936.363636363,0.2726367364154911,0.06944026956777333
the great wall ,CMCSA,"[datetime.datetime(2016, 10, 8, 17, 0, 6)]",28402,5157,10328740,6739,0.06566745385850034,0.30781033969082217,0.3101588513646891,0.3490422756009772,-0.007979869667434202,17869500.0,0.32955651947083714,-0.05116684085230111
Dr Seuss The Lorax 2012 EXCLUSIVE Trailer _comments.csv,CMCSA,"[datetime.datetime(2011, 10, 27, 17, 56, 20)]",14366,1432,7186658,2888,0.15989376911265313,0.4894497867743294,0.3817737698796806,0.354080427787605,0.1071896320162664,38363669.56521739,0.6407380563982416,-0.05070787114817106
Jurrasic World ,CMCSA,"[datetime.datetime(2014, 11, 25, 17, 0, 1)]",333406,17255,88683358,49240,0.08803362216310116,0.420154541738354,0.33377762501301894,0.33810365140120535,0.04754870447114473,36789209.09090909,0.41905400325185366,0.0763278597929502
The Secret Life Of Pets 2  Official Trailer_comments.csv,CMCSA,"[datetime.datetime(2019, 4, 11, 7, 0, 57)]",30723,2700,25439833,1258,0.13025459860201064,0.32396073604961434,0.30036877375064186,0.34737953669502614,0.04469288043676052,18827182.608695652,0.5376997824152466,0.09360113473285384
Fast  Furious 8 ,CMCSA,"[datetime.datetime(2016, 12, 12, 1, 20, 29)]",88048,6960,24292508,4956,0.033231831943188885,0.369224406273195,0.3448979199699887,0.35899391665304003,0.025869656812724618,21835930.0,0.4116213954427527,0.0634655097540336
Fifty shades darker ,CMCSA,"[datetime.datetime(2016, 12, 7, 16, 0, 8)]",102646,3823,26558837,4801,0.08210245237718333,0.34390623732576897,0.33494569838517424,0.351291239144405,0.12713376598207385,25254890.90909091,1.1883018270208474,0.13053274823899924
The Secret Life Of Pets  Official Teaser Trailer HD  Illumination_comments.csv,CMCSA,"[datetime.datetime(2015, 6, 17, 14, 56)]",15155,546,4574627,2039,0.18284518563691676,0.4291900136568969,0.3744065010301246,0.3674149612226816,0.046515662234334475,26652645.454545453,0.3532127758170957,0.12505461616667282
Lucy  Trailer_comments.csv,CMCSA,"[datetime.datetime(2014, 4, 3, 14, 57, 1)]",82834,3555,27371980,15583,0.09563347431671962,0.42170924254844444,0.3571038043637525,0.36987599546079636,-0.00013366516763122088,30949113.04347826,0.4045377692618964,0.017998562810531183
Fast  Furious 6 ,CMCSA,"[datetime.datetime(2013, 2, 5, 16, 59, 7)]",119520,8236,37063119,5109,0.10625258271109968,0.40230394634119676,0.37928803015556856,0.347638243376368,0.0353568024343893,25243695.23809524,0.35310616715976834,0.08004161788203844
Minions  Official Trailer HD  Illumination_comments.csv,CMCSA,"[datetime.datetime(2014, 11, 4, 1, 35, 1)]",1485028,71119,71622158,173893,0.18899313406453352,0.38157058004631383,0.3503621815921407,0.39136450849971915,0.023225287107733972,42173854.54545455,0.8536608576170378,0.05354866403964032
Detective Pikachu ,TWX,"[datetime.datetime(2018, 11, 12, 17, 0)]",4629,135,1432087,462,0.10850180759388636,0.3305872136922244,0.30868644200286366,0.38121783420821703,0.0,0.0,1.0,0.0
Sherlock Holmes A Game of Shadows ,TWX,"[datetime.datetime(2011, 7, 13, 16, 58, 50)]",109337,5571,30893464,12893,0.20509305555555554,0.43366666666666664,0.38802030120342756,0.4140413482917354,0.0,0.0,1.0,0.0
Mad Max Fury Road ,TWX,"[datetime.datetime(2015, 3, 31, 17, 0, 4)]",4736,463,1889685,1068,0.0618563312377498,0.42412272054162437,0.36380550254317234,0.37165597594740435,0.0,0.0,1.0,0.0
Argo ,TWX,"[datetime.datetime(2012, 5, 8, 16, 47, 26)]",168911,9716,29284261,17892,0.05890151515151516,0.37878787878787884,0.44064027086102026,0.38062993659084227,0.0,0.0,1.0,0.0
BLADE RUNNER 2049  Official Trailer_comments.csv,TWX,"[datetime.datetime(2017, 5, 8, 16, 35, 21)]",417350,27522,36299354,64435,0.09981277844206954,0.3637710812553182,0.3268082262919042,0.34634526962980106,0.0,0.0,1.0,0.0
Justice League ,TWX,"[datetime.datetime(2017, 3, 25, 15, 0, 1)]",67134,3002,20865771,22175,0.09324851772934871,0.3912110796978116,0.34879983759658806,0.34230141842808137,0.0,0.0,1.0,0.0
Pacific Rim ,TWX,"[datetime.datetime(2013, 5, 16, 17, 0, 4)]",35652,1173,10947384,4099,0.08612963529946449,0.3852993716805139,0.3175531039826173,0.3486111883051657,0.0,0.0,1.0,0.0
Fantastic Beasts The Crimes of Grindelwald  Official Teaser Trailer_comments.csv,TWX,"[datetime.datetime(2018, 3, 13, 16, 0, 30)]",62448,1658,14375068,14935,0.11436681029372751,0.30836508261120493,0.30606415124975345,0.35967803320702113,0.0,0.0,1.0,0.0
The Accountant ,TWX,"[datetime.datetime(2016, 5, 13, 0, 1, 57)]",128324,4852,19377498,9202,0.14768400147549887,0.32232555397691653,0.33482130495764784,0.3626358441650678,0.0,0.0,1.0,0.0
The Hobbit The Desolation of Smaug ,TWX,"[datetime.datetime(2013, 6, 11, 17, 13, 19)]",6294,157,907010,759,0.15135971268017176,0.40132643024524167,0.36649319133448527,0.3626629031515741,0.0,0.0,1.0,0.0
Creed 2 ,TWX,"[datetime.datetime(2018, 6, 20, 12, 45, 12)]",156493,2892,16761912,12773,0.08228256548292413,0.222080228392595,0.2764173554582131,0.31760185271789476,0.0,0.0,1.0,0.0
Her ,TWX,"[datetime.datetime(2013, 8, 7, 16, 31, 58)]",19639,572,5974353,3518,0.11943685340340121,0.3937313935132727,0.3339349933112671,0.3568196058581965,0.0,0.0,1.0,0.0
Fantastic Beasts and Where to Find Them  Teaser Trailer HD_comments.csv,TWX,"[datetime.datetime(2016, 4, 11, 2, 0, 18)]",269710,14571,30767539,45036,0.1118665384280771,0.3195375463768487,0.31650912235601053,0.3601146244126691,0.0,0.0,1.0,0.0
The Hobbit An Unexpected Journey ,TWX,"[datetime.datetime(2012, 9, 19, 14, 59, 8)]",17291,1098,1292881,1894,0.1375911044338654,0.4091729725010782,0.3199893934024986,0.3334406921697648,0.0,0.0,1.0,0.0
Ready Player One ,TWX,"[datetime.datetime(2017, 12, 10, 18, 0, 17)]",17016,2617,6460523,1196,0.06659088736702459,0.32782612554798185,0.30999082375540704,0.3676967156950732,0.0,0.0,1.0,0.0
Nancy Drew and the Hidden Staircase ,TWX,"[datetime.datetime(2019, 1, 19, 23, 12, 9)]",101022,2826,22575675,12668,0.1238077472755481,0.31266205108494827,0.296533032201358,0.33928037475545936,0.0,0.0,1.0,0.0
LIFE OF THE PARTY  Official Trailer 1_comments.csv,TWX,"[datetime.datetime(2018, 2, 5, 23, 30, 51)]",82532,1806,15175291,6511,0.11310404246947879,0.39202706913664553,0.31149899441402396,0.3636631452878683,0.0,0.0,1.0,0.0
The Hobbit The Battle of the Five Armies ,TWX,"[datetime.datetime(2014, 11, 6, 18, 0)]",14582,1203,9115894,5407,0.1192519037952502,0.38096742852677046,0.3571901773822738,0.36698340842494626,0.0,0.0,1.0,0.0
The Mule ,TWX,"[datetime.datetime(2018, 10, 4, 16, 1, 3)]",59354,2321,6110260,5486,0.14525362281508275,0.3663971199128423,0.3579298638392988,0.34384689434276805,0.0,0.0,1.0,0.0
Contagion ,TWX,"[datetime.datetime(2011, 7, 14, 1, 2, 51)]",217373,14740,37826618,22416,0.07372495090294393,0.3768742360631229,0.30776688066610663,0.30634833988439525,0.0,0.0,1.0,0.0
The Lego Movie 2 The Second Part ,TWX,"[datetime.datetime(2018, 11, 20, 15, 58, 34)]",64394,2215,7006109,5268,0.1308522700609179,0.3334470295223316,0.35219868917965264,0.3724839482662082,0.0,0.0,1.0,0.0
It ,TWX,"[datetime.datetime(2017, 7, 27, 16, 0, 2)]",132875,64708,19374446,37973,0.036395983583325825,0.3463604872687687,0.32075212411618836,0.35754279194401983,0.0,0.0,1.0,0.0
Harry Potter and the Deathly Hallows  Part 2 ,TWX,"[datetime.datetime(2011, 6, 16, 19, 5, 51)]",31030,2378,9204783,3326,0.1182329388813583,0.4062177978889677,0.37535340125801736,0.36597964233878527,0.0,0.0,1.0,0.0
The LEGO Batman Movie  Batcave Teaser Trailer_comments.csv,TWX,"[datetime.datetime(2016, 3, 24, 13, 0, 38)]",11352,298,1780258,597,0.1553201730000306,0.358767864768027,0.34290200139368054,0.3435018578486996,0.0,0.0,1.0,0.0
Oceans 8 ,TWX,"[datetime.datetime(2017, 12, 19, 12, 0, 2)]",97672,946,5148822,8746,0.06363813363931588,0.3839501062258732,0.31771169508682257,0.32841712052783334,0.0,0.0,1.0,0.0
King Arthur Legend of the Sword ,TWX,"[datetime.datetime(2017, 2, 20, 18, 0, 3)]",43283,5032,20828423,7440,0.0838485357038167,0.34482609621931326,0.33727532779742314,0.3488329067427325,0.0,0.0,1.0,0.0
Dark Shadows ,TWX,"[datetime.datetime(2012, 3, 16, 17, 28, 3)]",5007,473,3215180,2231,0.20565724206349204,0.5505294486215538,0.4316971950140324,0.34938270972984703,0.0,0.0,1.0,0.0
The Nun ,TWX,"[datetime.datetime(2018, 6, 13, 12, 11, 50)]",278948,13250,45311827,26120,0.049852490064580236,0.32474150758167153,0.3153730461327697,0.3606541457745097,0.0,0.0,1.0,0.0
They Shall Not Grow Old ,TWX,"[datetime.datetime(2018, 11, 20, 16, 59, 5)]",87335,3161,21587423,21584,0.15527808938083326,0.38188494594191147,0.31609840693952806,0.366432836470832,0.0,0.0,1.0,0.0
American Sniper ,TWX,"[datetime.datetime(2014, 10, 3, 23, 55, 29)]",7919,477,4009783,1520,0.1294983548141523,0.4216053980190885,0.3561478461341624,0.3656302831312677,0.0,0.0,1.0,0.0
Green Lantern ,TWX,"[datetime.datetime(2010, 11, 18, 17, 32, 50)]",41738,4125,17463215,12042,0.2106080262330262,0.5407032088282088,0.43489560885429235,0.27921679632090174,0.0,0.0,1.0,0.0
The Meg ,TWX,"[datetime.datetime(2018, 4, 10, 3, 55, 4)]",125152,3484,25462879,10353,0.043645687241723644,0.35078999441876535,0.30805184951514875,0.3576218534256801,0.0,0.0,1.0,0.0
Cloud Atlas ,TWX,"[datetime.datetime(2012, 7, 27, 7, 0, 33)]",180635,9408,25611094,16590,0.1303822512042535,0.41496356964000386,0.33368271833148294,0.3523434769413694,0.0,0.0,1.0,0.0
Bullet to the Head ,TWX,"[datetime.datetime(2012, 8, 17, 18, 31, 21)]",33172,1329,3889219,1841,0.017442604323890252,0.32407052185787816,0.33471364745261256,0.3404293048604647,0.0,0.0,1.0,0.0
Gravity ,TWX,"[datetime.datetime(2013, 9, 4, 23, 30, 25)]",106986,3217,9732830,8847,0.04929297387213273,0.42799257420362263,0.34484124668714883,0.33234612477903197,0.0,0.0,1.0,0.0
Creed ,TWX,"[datetime.datetime(2015, 6, 30, 23, 30, 19)]",217127,6076,31568799,20125,0.15486010856029783,0.3498599566702189,0.3452209631893663,0.3486193337209216,0.0,0.0,1.0,0.0
Crazy Rich Asians ,TWX,"[datetime.datetime(2018, 4, 23, 16, 0, 13)]",39547,177,372724,1465,0.08809466794161654,0.35419311945771365,0.2910114191869042,0.33211875993059664,0.0,0.0,1.0,0.0
ISNT IT ROMANTIC  Official Trailer_comments.csv,TWX,"[datetime.datetime(2018, 10, 31, 19, 48, 39)]",319322,14040,42446051,25886,0.1203000678363024,0.3386781788685596,0.29079808668928525,0.361600855932154,0.0,0.0,1.0,0.0
The Sun Is Also a Star ,TWX,"[datetime.datetime(2019, 2, 6, 16, 0, 13)]",24842,1250,8992484,1351,0.14907734765171557,0.4046563917254802,0.3213041314275315,0.35244732618061814,0.0,0.0,1.0,0.0
Isnt it Romantic ,TWX,"[datetime.datetime(2018, 10, 31, 19, 0, 11)]",113642,23630,20412001,23083,0.14283614597744151,0.3412980243317511,0.30806985647570245,0.37424980042290545,0.0,0.0,1.0,0.0
A STAR IS BORN  Official Trailer 1_comments.csv,TWX,"[datetime.datetime(2018, 6, 6, 16, 0, 23)]",257135,18907,45029010,29107,0.15845191193910835,0.3145309225272784,0.3392452259931258,0.3686783785731063,0.0,0.0,1.0,0.0
White Snake ,TWX,"[datetime.datetime(2019, 11, 1, 16, 22, 25)]",56078,2430,6980485,5365,0.1954722268891876,0.4183617084826763,0.20243283226040254,0.36304381199056773,0.0,0.0,1.0,0.0
THE NUN  Official Teaser Trailer HD_comments.csv,TWX,"[datetime.datetime(2018, 6, 13, 12, 0, 24)]",109509,7108,33082147,13783,0.04256095518973838,0.3224166122186529,0.3126653413008783,0.37264230960772177,0.0,0.0,1.0,0.0
The Intern ,TWX,"[datetime.datetime(2015, 5, 13, 23, 30, 5)]",64055,4467,29126777,13138,0.20077885194481832,0.40282048172804474,0.3582751416947274,0.35733454539806886,0.0,0.0,1.0,0.0
Tomb Raider ,TWX,"[datetime.datetime(2017, 9, 20, 4, 56, 28)]",26935,1413,14767580,7851,0.027026502995455753,0.39659923808952907,0.3342064674354837,0.32524786427440855,0.0,0.0,1.0,0.0
Rampage ,TWX,"[datetime.datetime(2017, 11, 16, 21, 15, 8)]",12106,1045,5043918,695,0.016364367296821752,0.36298401445035944,0.3037523392970362,0.35403823571811543,0.0,0.0,1.0,0.0
Mowgli Legend of the Jungle ,TWX,"[datetime.datetime(2018, 11, 8, 6, 0, 49)]",41554,2307,14772509,8767,0.09362365784188491,0.3524856667233004,0.32662907233698346,0.34361524601019805,0.0,0.0,1.0,0.0
The Lego Movie ,TWX,"[datetime.datetime(2013, 10, 31, 17, 0, 29)]",649916,37758,60265517,93770,0.17090188653541122,0.38618791228888644,0.37086264388397006,0.36889721035014705,0.0,0.0,1.0,0.0
The Conjuring ,TWX,"[datetime.datetime(2013, 4, 2, 17, 20, 28)]",110145,2350,9314885,6352,0.1514928311489476,0.4642043252727014,0.4002671829312825,0.3776481133255069,0.0,0.0,1.0,0.0
Wrath of Titans ,TWX,"[datetime.datetime(2011, 12, 19, 19, 16, 32)]",54265,2570,17343628,18187,0.10779625828914831,0.40948017939047915,0.3522975069192261,0.3401742963289631,0.0,0.0,1.0,0.0
Paddington 2 ,TWX,"[datetime.datetime(2017, 10, 3, 7, 57, 49)]",359249,12594,28391645,75546,0.32154829545454544,0.5183633207070708,0.3921409400521031,0.389264323028138,0.0,0.0,1.0,0.0
Edge of Tomorrow ,TWX,"[datetime.datetime(2013, 12, 11, 18, 0, 37)]",48614,13847,22555360,6932,0.09164397702915322,0.3416131719945397,0.3190220889152746,0.34844268746204365,0.0,0.0,1.0,0.0
